PLQY measurement:
Date: 	08.03.2023 17:25:51
Peak emission wavelength (nm): 758
 PLQY = 	 	4.03E-3
absorded light fraction (%): 92
MAYA saturard: FALSE
USB2000 saturaed: FALSE
wavelength	corrected total emission spec
6.8944E+2	6.2580E-3
6.8966E+2	9.1078E-3
6.8989E+2	1.1941E-2
6.9011E+2	1.0536E-2
6.9033E+2	1.0504E-2
6.9055E+2	1.3798E-2
6.9077E+2	9.7636E-3
6.9099E+2	1.2570E-2
6.9122E+2	9.3976E-3
6.9144E+2	1.2313E-2
6.9166E+2	1.4912E-2
6.9188E+2	9.1413E-3
6.9210E+2	1.2430E-2
6.9232E+2	1.1799E-2
6.9255E+2	1.3695E-2
6.9277E+2	1.1230E-2
6.9299E+2	9.0291E-3
6.9321E+2	1.1489E-2
6.9343E+2	8.0267E-3
6.9365E+2	5.8620E-3
6.9387E+2	1.1016E-2
6.9410E+2	1.4608E-2
6.9432E+2	1.1384E-2
6.9454E+2	1.2381E-2
6.9476E+2	1.0135E-2
6.9498E+2	9.0571E-3
6.9520E+2	1.5076E-2
6.9542E+2	8.2239E-3
6.9565E+2	5.5721E-3
6.9587E+2	7.9114E-3
6.9609E+2	1.2453E-2
6.9631E+2	1.1699E-2
6.9653E+2	9.0190E-3
6.9675E+2	1.5121E-2
6.9697E+2	1.3015E-2
6.9719E+2	1.4734E-2
6.9742E+2	8.4520E-3
6.9764E+2	1.4657E-2
6.9786E+2	7.7608E-3
6.9808E+2	1.0789E-2
6.9830E+2	1.3842E-2
6.9852E+2	9.4229E-3
6.9874E+2	9.9879E-3
6.9896E+2	8.2920E-3
6.9918E+2	1.4384E-2
6.9941E+2	1.3316E-2
6.9963E+2	1.1873E-2
6.9985E+2	1.1150E-2
7.0007E+2	1.5312E-2
7.0029E+2	1.2393E-2
7.0051E+2	1.7567E-2
7.0073E+2	1.5043E-2
7.0095E+2	1.3287E-2
7.0117E+2	9.1336E-3
7.0139E+2	1.3685E-2
7.0161E+2	1.2113E-2
7.0184E+2	1.3006E-2
7.0206E+2	9.9351E-3
7.0228E+2	1.3338E-2
7.0250E+2	1.3809E-2
7.0272E+2	1.7827E-2
7.0294E+2	7.1501E-3
7.0316E+2	1.2806E-2
7.0338E+2	1.5799E-2
7.0360E+2	1.3552E-2
7.0382E+2	1.6660E-2
7.0404E+2	1.1509E-2
7.0426E+2	9.6916E-3
7.0448E+2	1.3028E-2
7.0470E+2	1.7174E-2
7.0492E+2	1.3952E-2
7.0515E+2	1.5966E-2
7.0537E+2	1.3192E-2
7.0559E+2	1.2382E-2
7.0581E+2	1.1630E-2
7.0603E+2	1.8397E-2
7.0625E+2	1.5767E-2
7.0647E+2	1.6193E-2
7.0669E+2	1.4563E-2
7.0691E+2	1.4063E-2
7.0713E+2	9.8860E-3
7.0735E+2	1.6281E-2
7.0757E+2	1.4914E-2
7.0779E+2	9.7570E-3
7.0801E+2	1.4056E-2
7.0823E+2	1.9578E-2
7.0845E+2	1.6810E-2
7.0867E+2	1.7673E-2
7.0889E+2	1.9889E-2
7.0911E+2	2.3008E-2
7.0933E+2	1.7126E-2
7.0955E+2	2.2203E-2
7.0977E+2	1.7461E-2
7.0999E+2	1.3029E-2
7.1021E+2	1.6460E-2
7.1043E+2	1.7012E-2
7.1065E+2	2.3102E-2
7.1087E+2	1.6962E-2
7.1109E+2	1.6981E-2
7.1131E+2	1.8752E-2
7.1153E+2	1.4180E-2
7.1175E+2	1.6811E-2
7.1197E+2	2.1328E-2
7.1219E+2	2.5170E-2
7.1241E+2	1.8738E-2
7.1263E+2	2.3344E-2
7.1285E+2	1.8877E-2
7.1307E+2	2.2364E-2
7.1329E+2	2.2534E-2
7.1351E+2	2.2494E-2
7.1373E+2	2.4426E-2
7.1395E+2	2.2743E-2
7.1417E+2	2.3902E-2
7.1439E+2	2.4012E-2
7.1461E+2	2.7123E-2
7.1483E+2	1.9036E-2
7.1505E+2	2.7700E-2
7.1527E+2	2.0459E-2
7.1549E+2	3.0244E-2
7.1571E+2	2.6793E-2
7.1593E+2	2.0879E-2
7.1615E+2	2.2067E-2
7.1637E+2	2.5788E-2
7.1659E+2	2.4594E-2
7.1681E+2	2.4306E-2
7.1703E+2	3.2517E-2
7.1725E+2	3.2802E-2
7.1747E+2	2.4597E-2
7.1769E+2	2.6914E-2
7.1791E+2	2.6926E-2
7.1813E+2	3.0280E-2
7.1835E+2	3.1432E-2
7.1857E+2	3.0415E-2
7.1879E+2	2.7463E-2
7.1901E+2	3.3745E-2
7.1923E+2	3.2890E-2
7.1944E+2	2.8028E-2
7.1966E+2	3.1495E-2
7.1988E+2	3.3126E-2
7.2010E+2	2.9341E-2
7.2032E+2	3.4884E-2
7.2054E+2	3.4660E-2
7.2076E+2	3.5310E-2
7.2098E+2	3.6913E-2
7.2120E+2	3.7305E-2
7.2142E+2	3.6425E-2
7.2164E+2	3.3816E-2
7.2186E+2	3.8806E-2
7.2208E+2	3.9155E-2
7.2230E+2	3.9828E-2
7.2252E+2	3.5220E-2
7.2273E+2	3.5635E-2
7.2295E+2	3.7066E-2
7.2317E+2	4.1792E-2
7.2339E+2	4.4262E-2
7.2361E+2	4.3056E-2
7.2383E+2	4.0412E-2
7.2405E+2	3.9763E-2
7.2427E+2	4.3397E-2
