PLQY measurement:
Date: 	08.03.2023 17:28:34
Peak emission wavelength (nm): 742
 PLQY = 	 	5.03E-3
absorded light fraction (%): 95
MAYA saturard: FALSE
USB2000 saturaed: FALSE
wavelength	corrected total emission spec
6.7232E+2	1.3143E-2
6.7254E+2	1.2777E-2
6.7276E+2	1.0650E-2
6.7298E+2	7.9967E-3
6.7321E+2	1.1544E-2
6.7343E+2	6.5096E-3
6.7365E+2	1.1802E-2
6.7388E+2	1.1989E-2
6.7410E+2	1.1832E-2
6.7432E+2	1.1290E-2
6.7455E+2	1.1721E-2
6.7477E+2	1.0312E-2
6.7499E+2	9.8746E-3
6.7521E+2	6.6631E-3
6.7544E+2	9.2048E-3
6.7566E+2	1.2383E-2
6.7588E+2	1.0817E-2
6.7611E+2	1.0609E-2
6.7633E+2	1.1654E-2
6.7655E+2	1.1029E-2
6.7677E+2	3.4639E-3
6.7700E+2	1.1481E-2
6.7722E+2	7.0441E-3
6.7744E+2	1.1714E-2
6.7766E+2	1.6310E-2
6.7789E+2	7.7056E-3
6.7811E+2	1.0085E-2
6.7833E+2	1.0228E-2
6.7856E+2	1.5109E-2
6.7878E+2	1.7212E-2
6.7900E+2	1.0420E-2
6.7922E+2	1.3921E-2
6.7945E+2	1.3480E-2
6.7967E+2	1.2760E-2
6.7989E+2	1.1212E-2
6.8011E+2	1.9065E-2
6.8034E+2	1.2666E-2
6.8056E+2	6.6142E-3
6.8078E+2	1.5080E-2
6.8100E+2	1.0310E-2
6.8123E+2	1.5333E-2
6.8145E+2	1.1925E-2
6.8167E+2	1.6735E-2
6.8189E+2	1.0618E-2
6.8212E+2	9.2600E-3
6.8234E+2	1.0499E-2
6.8256E+2	1.1939E-2
6.8278E+2	1.2682E-2
6.8300E+2	1.1750E-2
6.8323E+2	1.4158E-2
6.8345E+2	1.1270E-2
6.8367E+2	9.3124E-3
6.8389E+2	1.0226E-2
6.8412E+2	1.2839E-2
6.8434E+2	1.2664E-2
6.8456E+2	1.5297E-2
6.8478E+2	1.5651E-2
6.8500E+2	1.0788E-2
6.8523E+2	9.5177E-3
6.8545E+2	1.1344E-2
6.8567E+2	1.4228E-2
6.8589E+2	1.0167E-2
6.8611E+2	1.4126E-2
6.8634E+2	1.2785E-2
6.8656E+2	1.4635E-2
6.8678E+2	1.5582E-2
6.8700E+2	1.4628E-2
6.8722E+2	1.6600E-2
6.8745E+2	1.2658E-2
6.8767E+2	1.3129E-2
6.8789E+2	1.5271E-2
6.8811E+2	1.7041E-2
6.8833E+2	1.5257E-2
6.8856E+2	1.0801E-2
6.8878E+2	1.2927E-2
6.8900E+2	1.2215E-2
6.8922E+2	1.4923E-2
6.8944E+2	1.5874E-2
6.8966E+2	1.7743E-2
6.8989E+2	1.6100E-2
6.9011E+2	1.6226E-2
6.9033E+2	1.6031E-2
6.9055E+2	1.9276E-2
6.9077E+2	1.6384E-2
6.9099E+2	1.2799E-2
6.9122E+2	1.3707E-2
6.9144E+2	1.8557E-2
6.9166E+2	1.7306E-2
6.9188E+2	1.6392E-2
6.9210E+2	1.8381E-2
6.9232E+2	1.6226E-2
6.9255E+2	1.7283E-2
6.9277E+2	1.5943E-2
6.9299E+2	2.2775E-2
6.9321E+2	1.7430E-2
6.9343E+2	1.4820E-2
6.9365E+2	1.5042E-2
6.9387E+2	2.0335E-2
6.9410E+2	1.9204E-2
6.9432E+2	2.1455E-2
6.9454E+2	2.2471E-2
6.9476E+2	1.8052E-2
6.9498E+2	1.9527E-2
6.9520E+2	2.0191E-2
6.9542E+2	1.8696E-2
6.9565E+2	1.9535E-2
6.9587E+2	1.8715E-2
6.9609E+2	2.1734E-2
6.9631E+2	1.8870E-2
6.9653E+2	1.6691E-2
6.9675E+2	2.4391E-2
6.9697E+2	2.2677E-2
6.9719E+2	2.3248E-2
6.9742E+2	2.1110E-2
6.9764E+2	2.4525E-2
6.9786E+2	2.2955E-2
6.9808E+2	2.0882E-2
6.9830E+2	2.2760E-2
6.9852E+2	2.2233E-2
6.9874E+2	2.0969E-2
