PLQY measurement:
Date: 	08.03.2023 17:34:45
Peak emission wavelength (nm): 753
 PLQY = 	 	1.91E-2
absorded light fraction (%): 109
MAYA saturard: FALSE
USB2000 saturaed: FALSE
wavelength	corrected total emission spec
6.6248E+2	1.3579E-2
6.6271E+2	7.2698E-3
6.6293E+2	1.3565E-2
6.6315E+2	1.6881E-2
6.6338E+2	9.8887E-3
6.6360E+2	7.8620E-3
6.6383E+2	1.0067E-2
6.6405E+2	1.0751E-2
6.6427E+2	1.2166E-2
6.6450E+2	1.5646E-2
6.6472E+2	1.5766E-2
6.6494E+2	9.7810E-3
6.6517E+2	1.3110E-2
6.6539E+2	1.2506E-2
6.6562E+2	1.1303E-2
6.6584E+2	1.4961E-2
6.6606E+2	7.2532E-3
6.6629E+2	1.7821E-2
6.6651E+2	1.2602E-2
6.6673E+2	1.1539E-2
6.6696E+2	9.8300E-3
6.6718E+2	1.1222E-2
6.6740E+2	1.1911E-2
6.6763E+2	1.1009E-2
6.6785E+2	1.3803E-2
6.6807E+2	8.6086E-3
6.6830E+2	1.1507E-2
6.6852E+2	1.1552E-2
6.6874E+2	1.1068E-2
6.6897E+2	1.4992E-2
6.6919E+2	1.4765E-2
6.6941E+2	1.5011E-2
6.6964E+2	8.8604E-3
6.6986E+2	1.1151E-2
6.7008E+2	1.0129E-2
6.7031E+2	5.0889E-3
6.7053E+2	1.0518E-2
6.7075E+2	9.1702E-3
6.7098E+2	1.1752E-2
6.7120E+2	1.0085E-2
6.7142E+2	1.2626E-2
6.7165E+2	9.5257E-3
6.7187E+2	1.6757E-2
6.7209E+2	1.3212E-2
6.7232E+2	1.0094E-2
6.7254E+2	1.3430E-2
6.7276E+2	1.6294E-2
6.7298E+2	1.2117E-2
6.7321E+2	1.1544E-2
6.7343E+2	9.5353E-3
6.7365E+2	1.3312E-2
6.7388E+2	1.3497E-2
6.7410E+2	8.6048E-3
6.7432E+2	1.5371E-2
6.7455E+2	7.8612E-3
6.7477E+2	7.7431E-3
6.7499E+2	1.1585E-2
6.7521E+2	9.8655E-3
6.7544E+2	1.2402E-2
6.7566E+2	9.6168E-3
6.7588E+2	1.5492E-2
6.7611E+2	1.4004E-2
6.7633E+2	1.2290E-2
6.7655E+2	1.3144E-2
6.7677E+2	1.0434E-2
6.7700E+2	1.2957E-2
6.7722E+2	1.1044E-2
6.7744E+2	1.6548E-2
6.7766E+2	1.5891E-2
6.7789E+2	1.0639E-2
6.7811E+2	1.4479E-2
6.7833E+2	1.5032E-2
6.7856E+2	1.5109E-2
6.7878E+2	1.6795E-2
6.7900E+2	1.5827E-2
6.7922E+2	1.6620E-2
6.7945E+2	1.5552E-2
6.7967E+2	1.5036E-2
6.7989E+2	1.2865E-2
6.8011E+2	1.3082E-2
6.8034E+2	1.2666E-2
6.8056E+2	1.3605E-2
6.8078E+2	1.9187E-2
6.8100E+2	1.2155E-2
6.8123E+2	1.8813E-2
6.8145E+2	1.6829E-2
6.8167E+2	1.5715E-2
6.8189E+2	1.3470E-2
6.8212E+2	1.6787E-2
6.8234E+2	1.4154E-2
6.8256E+2	1.4168E-2
6.8278E+2	1.8352E-2
6.8300E+2	1.4783E-2
6.8323E+2	1.7185E-2
6.8345E+2	1.7113E-2
6.8367E+2	1.3134E-2
6.8389E+2	1.6253E-2
6.8412E+2	1.8254E-2
6.8434E+2	9.2605E-3
6.8456E+2	1.6097E-2
6.8478E+2	2.0243E-2
6.8500E+2	1.5572E-2
6.8523E+2	1.8074E-2
6.8545E+2	1.2338E-2
6.8567E+2	1.9979E-2
6.8589E+2	1.5317E-2
6.8611E+2	1.9070E-2
6.8634E+2	1.4759E-2
6.8656E+2	1.8182E-2
6.8678E+2	1.6370E-2
6.8700E+2	2.4258E-2
6.8722E+2	1.9150E-2
6.8745E+2	1.5008E-2
6.8767E+2	1.9385E-2
6.8789E+2	1.9958E-2
6.8811E+2	2.2695E-2
6.8833E+2	2.0318E-2
6.8856E+2	1.5270E-2
6.8878E+2	1.8749E-2
6.8900E+2	1.8416E-2
6.8922E+2	1.8985E-2
6.8944E+2	2.0701E-2
6.8966E+2	1.9864E-2
6.8989E+2	1.8988E-2
6.9011E+2	2.2569E-2
6.9033E+2	1.8525E-2
6.9055E+2	2.4448E-2
6.9077E+2	1.9254E-2
6.9099E+2	2.1969E-2
6.9122E+2	1.6377E-2
6.9144E+2	2.3696E-2
6.9166E+2	2.3197E-2
6.9188E+2	2.7021E-2
6.9210E+2	2.5582E-2
6.9232E+2	2.1145E-2
6.9255E+2	2.2193E-2
6.9277E+2	2.0468E-2
6.9299E+2	2.5412E-2
6.9321E+2	2.8334E-2
6.9343E+2	2.4767E-2
6.9365E+2	2.8343E-2
6.9387E+2	2.8194E-2
6.9410E+2	2.9293E-2
6.9432E+2	2.4066E-2
6.9454E+2	2.2657E-2
6.9476E+2	2.4743E-2
6.9498E+2	2.8252E-2
6.9520E+2	2.9273E-2
6.9542E+2	2.9796E-2
6.9565E+2	2.6368E-2
6.9587E+2	2.6643E-2
6.9609E+2	2.7074E-2
6.9631E+2	2.5856E-2
6.9653E+2	3.1557E-2
6.9675E+2	3.3369E-2
6.9697E+2	3.2925E-2
6.9719E+2	3.4759E-2
6.9742E+2	3.1324E-2
6.9764E+2	3.4903E-2
6.9786E+2	3.0589E-2
6.9808E+2	3.5950E-2
6.9830E+2	3.6716E-2
6.9852E+2	3.1822E-2
6.9874E+2	3.3432E-2
6.9896E+2	3.2452E-2
6.9918E+2	3.4373E-2
6.9941E+2	4.0358E-2
6.9963E+2	4.2313E-2
6.9985E+2	3.3366E-2
7.0007E+2	3.9959E-2
7.0029E+2	3.3188E-2
7.0051E+2	3.8685E-2
7.0073E+2	3.7442E-2
7.0095E+2	3.5184E-2
7.0117E+2	3.4271E-2
7.0139E+2	3.6444E-2
7.0161E+2	4.8136E-2
7.0184E+2	4.8436E-2
7.0206E+2	4.0578E-2
7.0228E+2	4.2747E-2
7.0250E+2	4.9361E-2
7.0272E+2	4.6822E-2
7.0294E+2	4.4784E-2
7.0316E+2	4.4813E-2
7.0338E+2	4.3191E-2
7.0360E+2	5.0563E-2
7.0382E+2	5.1900E-2
7.0404E+2	4.8598E-2
7.0426E+2	4.5363E-2
7.0448E+2	4.9662E-2
7.0470E+2	5.1258E-2
7.0492E+2	5.2328E-2
7.0515E+2	5.4482E-2
7.0537E+2	5.1882E-2
7.0559E+2	5.2986E-2
7.0581E+2	5.7832E-2
7.0603E+2	5.6705E-2
7.0625E+2	5.9719E-2
7.0647E+2	5.9797E-2
7.0669E+2	6.3265E-2
7.0691E+2	6.0337E-2
7.0713E+2	5.6690E-2
7.0735E+2	6.0763E-2
7.0757E+2	6.5619E-2
7.0779E+2	6.4564E-2
7.0801E+2	6.9011E-2
7.0823E+2	6.5400E-2
7.0845E+2	7.1302E-2
7.0867E+2	6.8536E-2
7.0889E+2	7.3996E-2
7.0911E+2	7.3736E-2
7.0933E+2	7.2614E-2
7.0955E+2	7.7526E-2
7.0977E+2	8.0755E-2
7.0999E+2	7.6623E-2
7.1021E+2	7.9111E-2
7.1043E+2	8.1377E-2
7.1065E+2	8.2982E-2
7.1087E+2	8.2361E-2
7.1109E+2	8.6077E-2
7.1131E+2	9.1021E-2
7.1153E+2	8.2701E-2
