PLQY measurement:
Date: 	08.03.2023 17:34:00
Peak emission wavelength (nm): 753
 PLQY = 	 	3.66E-2
absorded light fraction (%): 101
MAYA saturard: FALSE
USB2000 saturaed: FALSE
wavelength	corrected total emission spec
6.6248E+2	1.6141E-2
6.6271E+2	1.2155E-2
6.6293E+2	1.1010E-2
6.6315E+2	1.6185E-2
6.6338E+2	1.0352E-2
6.6360E+2	6.2433E-3
6.6383E+2	1.3991E-2
6.6405E+2	1.4207E-2
6.6427E+2	1.4697E-2
6.6450E+2	1.5186E-2
6.6472E+2	1.4848E-2
6.6494E+2	1.4591E-2
6.6517E+2	1.3796E-2
6.6539E+2	1.4790E-2
6.6562E+2	1.8829E-2
6.6584E+2	1.3823E-2
6.6606E+2	1.2708E-2
6.6629E+2	1.6004E-2
6.6651E+2	1.7816E-2
6.6673E+2	1.6066E-2
6.6696E+2	1.3897E-2
6.6718E+2	1.1222E-2
6.6740E+2	1.5516E-2
6.6763E+2	1.2808E-2
6.6785E+2	1.7396E-2
6.6807E+2	1.2422E-2
6.6830E+2	1.1507E-2
6.6852E+2	1.2447E-2
6.6874E+2	1.8880E-2
6.6897E+2	1.5437E-2
6.6919E+2	1.4098E-2
6.6941E+2	1.8122E-2
6.6964E+2	1.7512E-2
6.6986E+2	1.4916E-2
6.7008E+2	1.8314E-2
6.7031E+2	1.4587E-2
6.7053E+2	1.2943E-2
6.7075E+2	1.5774E-2
6.7098E+2	1.3291E-2
6.7120E+2	1.3598E-2
6.7142E+2	1.3502E-2
6.7165E+2	1.3901E-2
6.7187E+2	1.6320E-2
6.7209E+2	1.6703E-2
6.7232E+2	1.6629E-2
6.7254E+2	1.9301E-2
6.7276E+2	1.8465E-2
6.7298E+2	1.0382E-2
6.7321E+2	1.6306E-2
6.7343E+2	1.4722E-2
6.7365E+2	1.9137E-2
6.7388E+2	1.6730E-2
6.7410E+2	1.7427E-2
6.7432E+2	2.1601E-2
6.7455E+2	1.7082E-2
6.7477E+2	1.2453E-2
6.7499E+2	2.0780E-2
6.7521E+2	1.4135E-2
6.7544E+2	1.4533E-2
6.7566E+2	1.4936E-2
6.7588E+2	1.6343E-2
6.7611E+2	1.7824E-2
6.7633E+2	1.4196E-2
6.7655E+2	1.8219E-2
6.7677E+2	1.2124E-2
6.7700E+2	1.7807E-2
6.7722E+2	1.5676E-2
6.7744E+2	2.1592E-2
6.7766E+2	1.4632E-2
6.7789E+2	1.8812E-2
6.7811E+2	1.6990E-2
6.7833E+2	2.0254E-2
6.7856E+2	1.6360E-2
6.7878E+2	2.3876E-2
6.7900E+2	2.2273E-2
6.7922E+2	2.1602E-2
6.7945E+2	2.3220E-2
6.7967E+2	1.7725E-2
6.7989E+2	1.7205E-2
6.8011E+2	2.3192E-2
6.8034E+2	2.0493E-2
6.8056E+2	1.8539E-2
6.8078E+2	1.8776E-2
6.8100E+2	2.0767E-2
6.8123E+2	2.6796E-2
6.8145E+2	2.0915E-2
6.8167E+2	1.7347E-2
6.8189E+2	2.1620E-2
6.8212E+2	2.1059E-2
6.8234E+2	2.2886E-2
6.8256E+2	2.1467E-2
6.8278E+2	2.7464E-2
6.8300E+2	2.1253E-2
6.8323E+2	2.4854E-2
6.8345E+2	2.0135E-2
6.8367E+2	2.5202E-2
6.8389E+2	2.4690E-2
6.8412E+2	2.2667E-2
6.8434E+2	2.3276E-2
6.8456E+2	2.5091E-2
6.8478E+2	2.7230E-2
6.8500E+2	2.0954E-2
6.8523E+2	2.4044E-2
6.8545E+2	2.1277E-2
6.8567E+2	2.5334E-2
6.8589E+2	2.4231E-2
6.8611E+2	2.7969E-2
6.8634E+2	2.8972E-2
6.8656E+2	2.6262E-2
6.8678E+2	2.4834E-2
6.8700E+2	3.1334E-2
6.8722E+2	2.4840E-2
6.8745E+2	2.7738E-2
6.8767E+2	2.7597E-2
6.8789E+2	3.0309E-2
6.8811E+2	2.9129E-2
6.8833E+2	3.2385E-2
6.8856E+2	2.4596E-2
6.8878E+2	2.4765E-2
6.8900E+2	3.5273E-2
6.8922E+2	3.6974E-2
6.8944E+2	3.3252E-2
6.8966E+2	3.2779E-2
6.8989E+2	3.6315E-2
6.9011E+2	3.4295E-2
6.9033E+2	3.1957E-2
6.9055E+2	3.5941E-2
6.9077E+2	3.2838E-2
6.9099E+2	3.1138E-2
6.9122E+2	3.9070E-2
6.9144E+2	4.1400E-2
6.9166E+2	3.8020E-2
6.9188E+2	3.3855E-2
6.9210E+2	3.7901E-2
6.9232E+2	3.4387E-2
6.9255E+2	3.8812E-2
6.9277E+2	4.1771E-2
6.9299E+2	4.4054E-2
6.9321E+2	4.1870E-2
6.9343E+2	4.2596E-2
6.9365E+2	3.9022E-2
6.9387E+2	4.4661E-2
6.9410E+2	4.8163E-2
6.9432E+2	4.3649E-2
6.9454E+2	4.5929E-2
6.9476E+2	4.2770E-2
