PLQY measurement:
Date: 	08.03.2023 17:30:53
Peak emission wavelength (nm): 739
 PLQY = 	 	7.17E-3
absorded light fraction (%): 98
MAYA saturard: FALSE
USB2000 saturaed: FALSE
wavelength	corrected total emission spec
6.7232E+2	1.2708E-2
6.7254E+2	1.5169E-2
6.7276E+2	1.6511E-2
6.7298E+2	1.2333E-2
6.7321E+2	1.4358E-2
6.7343E+2	9.7514E-3
6.7365E+2	1.4822E-2
6.7388E+2	1.3928E-2
6.7410E+2	1.0111E-2
6.7432E+2	1.4512E-2
6.7455E+2	7.6467E-3
6.7477E+2	5.6023E-3
6.7499E+2	1.1371E-2
6.7521E+2	8.7980E-3
6.7544E+2	1.4746E-2
6.7566E+2	9.4041E-3
6.7588E+2	1.5492E-2
6.7611E+2	1.1246E-2
6.7633E+2	1.2713E-2
6.7655E+2	1.1241E-2
6.7677E+2	1.0434E-2
6.7700E+2	1.2746E-2
6.7722E+2	9.1493E-3
6.7744E+2	1.0453E-2
6.7766E+2	1.5261E-2
6.7789E+2	9.8012E-3
6.7811E+2	1.4897E-2
6.7833E+2	1.4824E-2
6.7856E+2	1.4483E-2
6.7878E+2	1.5545E-2
6.7900E+2	1.4995E-2
6.7922E+2	1.8073E-2
6.7945E+2	1.7625E-2
6.7967E+2	1.6898E-2
6.7989E+2	1.3899E-2
6.8011E+2	1.5145E-2
6.8034E+2	9.7829E-3
6.8056E+2	1.0932E-2
6.8078E+2	1.8982E-2
6.8100E+2	1.0515E-2
6.8123E+2	1.9632E-2
6.8145E+2	1.4785E-2
6.8167E+2	1.6327E-2
6.8189E+2	1.2859E-2
6.8212E+2	1.5363E-2
6.8234E+2	1.2530E-2
6.8256E+2	1.4371E-2
6.8278E+2	1.7339E-2
6.8300E+2	1.4783E-2
6.8323E+2	1.5167E-2
6.8345E+2	1.6911E-2
6.8367E+2	1.2128E-2
6.8389E+2	1.6654E-2
6.8412E+2	1.9458E-2
6.8434E+2	1.4667E-2
6.8456E+2	1.2099E-2
6.8478E+2	1.6050E-2
6.8500E+2	1.0190E-2
6.8523E+2	1.7875E-2
6.8545E+2	1.6708E-2
6.8567E+2	1.6212E-2
6.8589E+2	1.8684E-2
6.8611E+2	1.6499E-2
6.8634E+2	1.3179E-2
6.8656E+2	1.7788E-2
6.8678E+2	1.8141E-2
6.8700E+2	1.7183E-2
6.8722E+2	1.7581E-2
6.8745E+2	1.8141E-2
6.8767E+2	2.0949E-2
6.8789E+2	2.0544E-2
6.8811E+2	1.6066E-2
6.8833E+2	2.1291E-2
6.8856E+2	1.6436E-2
