PLQY measurement:
Date: 	11.05.2023 13:57:49
Peak emission wavelength (nm): 748
 PLQY = 	 	9.10E-3
absorded light fraction (%): 81
MAYA saturard: FALSE
USB2000 saturaed: FALSE
wavelength	corrected total emission spec
6.7566E+2	2.6510E-3
6.7588E+2	5.4744E-3
6.7611E+2	1.0546E-3
6.7633E+2	1.2900E-3
6.7655E+2	4.8698E-3
6.7677E+2	4.4946E-3
6.7700E+2	4.9896E-3
6.7722E+2	6.1599E-3
6.7744E+2	2.1625E-3
6.7766E+2	2.9519E-3
6.7789E+2	2.1711E-3
6.7811E+2	2.1237E-3
6.7833E+2	2.9680E-3
6.7856E+2	7.6482E-3
6.7878E+2	4.1113E-3
6.7900E+2	4.0321E-3
6.7922E+2	4.1995E-3
6.7945E+2	2.9012E-3
6.7967E+2	1.9550E-3
6.7989E+2	5.9595E-3
6.8011E+2	1.6319E-3
6.8034E+2	5.5938E-3
6.8056E+2	8.8944E-3
6.8078E+2	3.9820E-3
6.8100E+2	3.9758E-3
6.8123E+2	3.7540E-3
6.8145E+2	6.3649E-3
6.8167E+2	-1.4279E-4
6.8189E+2	9.3706E-3
6.8212E+2	6.2086E-3
6.8234E+2	8.1026E-3
6.8256E+2	2.9659E-3
6.8278E+2	4.3799E-3
6.8300E+2	9.3404E-3
6.8323E+2	2.8114E-3
6.8345E+2	1.2128E-2
6.8367E+2	5.2938E-3
6.8389E+2	6.2017E-3
6.8412E+2	7.7362E-3
6.8434E+2	6.0689E-3
6.8456E+2	5.2609E-3
6.8478E+2	8.2176E-3
6.8500E+2	9.1396E-3
6.8523E+2	6.7418E-3
6.8545E+2	4.3662E-3
6.8567E+2	4.9002E-3
6.8589E+2	7.8616E-3
6.8611E+2	7.4199E-3
6.8634E+2	-1.2161E-3
6.8656E+2	1.0788E-2
6.8678E+2	6.0628E-3
6.8700E+2	6.5210E-3
6.8722E+2	8.1577E-3
6.8745E+2	4.2773E-3
6.8767E+2	1.0347E-2
6.8789E+2	1.1606E-2
6.8811E+2	7.9570E-3
6.8833E+2	9.0330E-3
6.8856E+2	7.4804E-3
6.8878E+2	8.8438E-3
6.8900E+2	6.3749E-3
6.8922E+2	9.0176E-3
6.8944E+2	1.2543E-2
6.8966E+2	1.3223E-2
6.8989E+2	1.1429E-2
6.9011E+2	5.9340E-3
6.9033E+2	8.4892E-3
6.9055E+2	1.0298E-2
6.9077E+2	1.0380E-2
6.9099E+2	6.9937E-3
6.9122E+2	9.7847E-3
6.9144E+2	8.4616E-3
6.9166E+2	9.8969E-3
6.9188E+2	1.3898E-2
6.9210E+2	8.9943E-3
6.9232E+2	1.4699E-2
6.9255E+2	1.1342E-2
6.9277E+2	8.1555E-3
6.9299E+2	1.2285E-2
6.9321E+2	9.0279E-3
6.9343E+2	1.3176E-2
6.9365E+2	1.2603E-2
6.9387E+2	8.3045E-3
6.9410E+2	1.2974E-2
6.9432E+2	1.7037E-2
6.9454E+2	1.5795E-2
6.9476E+2	1.3933E-2
6.9498E+2	1.2955E-2
6.9520E+2	1.5063E-2
6.9542E+2	2.1149E-2
6.9565E+2	1.7440E-2
6.9587E+2	1.4674E-2
6.9609E+2	1.9285E-2
6.9631E+2	1.8366E-2
6.9653E+2	1.7049E-2
6.9675E+2	1.4210E-2
6.9697E+2	1.8395E-2
6.9719E+2	2.1602E-2
6.9742E+2	1.8985E-2
6.9764E+2	1.5816E-2
6.9786E+2	1.5331E-2
6.9808E+2	2.0040E-2
6.9830E+2	1.6456E-2
6.9852E+2	2.3494E-2
6.9874E+2	1.9849E-2
6.9896E+2	1.6332E-2
6.9918E+2	2.4002E-2
6.9941E+2	1.4248E-2
6.9963E+2	2.0944E-2
6.9985E+2	1.9440E-2
7.0007E+2	1.7678E-2
7.0029E+2	2.5749E-2
7.0051E+2	2.1812E-2
7.0073E+2	2.1088E-2
7.0095E+2	2.2357E-2
7.0117E+2	2.1113E-2
7.0139E+2	2.1924E-2
7.0161E+2	2.2219E-2
7.0184E+2	2.3280E-2
7.0206E+2	2.8719E-2
7.0228E+2	2.2719E-2
7.0250E+2	2.8788E-2
7.0272E+2	2.5629E-2
7.0294E+2	2.6577E-2
7.0316E+2	2.7265E-2
7.0338E+2	2.6670E-2
7.0360E+2	2.5041E-2
7.0382E+2	2.6471E-2
7.0404E+2	3.1595E-2
7.0426E+2	2.7763E-2
7.0448E+2	3.0896E-2
7.0470E+2	2.6318E-2
7.0492E+2	3.5242E-2
7.0515E+2	3.1969E-2
7.0537E+2	3.2119E-2
7.0559E+2	3.1684E-2
7.0581E+2	3.0816E-2
7.0603E+2	3.1685E-2
7.0625E+2	3.2539E-2
7.0647E+2	3.2064E-2
7.0669E+2	3.5798E-2
7.0691E+2	3.2607E-2
7.0713E+2	3.7890E-2
7.0735E+2	3.7966E-2
7.0757E+2	3.7284E-2
7.0779E+2	3.7560E-2
7.0801E+2	3.5277E-2
7.0823E+2	3.7397E-2
7.0845E+2	3.8592E-2
7.0867E+2	4.1593E-2
7.0889E+2	4.3608E-2
7.0911E+2	4.0575E-2
7.0933E+2	4.6111E-2
7.0955E+2	4.3272E-2
7.0977E+2	4.0454E-2
7.0999E+2	4.2862E-2
7.1021E+2	4.5647E-2
7.1043E+2	4.3859E-2
7.1065E+2	4.8025E-2
7.1087E+2	4.7285E-2
7.1109E+2	4.8320E-2
7.1131E+2	4.9446E-2
7.1153E+2	4.9278E-2
7.1175E+2	5.2319E-2
7.1197E+2	5.2694E-2
7.1219E+2	5.5248E-2
7.1241E+2	5.5036E-2
7.1263E+2	5.8218E-2
7.1285E+2	6.3533E-2
7.1307E+2	5.5825E-2
7.1329E+2	6.4246E-2
7.1351E+2	6.4007E-2
7.1373E+2	5.9405E-2
7.1395E+2	6.4573E-2
7.1417E+2	6.7333E-2
7.1439E+2	6.4012E-2
7.1461E+2	6.9857E-2
7.1483E+2	7.0003E-2
7.1505E+2	7.3168E-2
7.1527E+2	7.0290E-2
7.1549E+2	7.3527E-2
7.1571E+2	7.0950E-2
7.1593E+2	7.2553E-2
7.1615E+2	7.1968E-2
7.1637E+2	7.6142E-2
7.1659E+2	7.9521E-2
7.1681E+2	7.6410E-2
7.1703E+2	8.6763E-2
7.1725E+2	8.6123E-2
7.1747E+2	8.6582E-2
7.1769E+2	8.5400E-2
7.1791E+2	8.3306E-2
7.1813E+2	8.5793E-2
7.1835E+2	8.8248E-2
7.1857E+2	9.4100E-2
7.1879E+2	9.9833E-2
7.1901E+2	9.4941E-2
7.1923E+2	9.3869E-2
7.1944E+2	9.3040E-2
7.1966E+2	1.0303E-1
7.1988E+2	1.0492E-1
7.2010E+2	1.0169E-1
7.2032E+2	1.0446E-1
7.2054E+2	1.0449E-1
7.2076E+2	1.1349E-1
7.2098E+2	1.0556E-1
7.2120E+2	1.1024E-1
7.2142E+2	1.0976E-1
7.2164E+2	1.1413E-1
7.2186E+2	1.1706E-1
7.2208E+2	1.1893E-1
7.2230E+2	1.2158E-1
7.2252E+2	1.2526E-1
7.2273E+2	1.2227E-1
7.2295E+2	1.2263E-1
7.2317E+2	1.2835E-1
7.2339E+2	1.2981E-1
7.2361E+2	1.3416E-1
7.2383E+2	1.3530E-1
7.2405E+2	1.3929E-1
7.2427E+2	1.4098E-1
7.2449E+2	1.4424E-1
7.2471E+2	1.4446E-1
7.2493E+2	1.4672E-1
7.2514E+2	1.4548E-1
7.2536E+2	1.4575E-1
7.2558E+2	1.5501E-1
7.2580E+2	1.5269E-1
7.2602E+2	1.5263E-1
7.2624E+2	1.5772E-1
7.2646E+2	1.5666E-1
7.2668E+2	1.6271E-1
7.2690E+2	1.6367E-1
7.2711E+2	1.6872E-1
7.2733E+2	1.6481E-1
7.2755E+2	1.7066E-1
7.2777E+2	1.7795E-1
7.2799E+2	1.7830E-1
7.2821E+2	1.7334E-1
7.2843E+2	1.7809E-1
7.2865E+2	1.8712E-1
7.2886E+2	1.8800E-1
7.2908E+2	1.8498E-1
7.2930E+2	1.9038E-1
7.2952E+2	1.9943E-1
7.2974E+2	1.9481E-1
7.2996E+2	1.9872E-1
7.3018E+2	1.9834E-1
7.3039E+2	1.9732E-1
7.3061E+2	2.0037E-1
7.3083E+2	2.0399E-1
7.3105E+2	2.1087E-1
7.3127E+2	2.0565E-1
7.3149E+2	2.0801E-1
7.3171E+2	2.1302E-1
7.3192E+2	2.1316E-1
7.3214E+2	2.2100E-1
7.3236E+2	2.1952E-1
7.3258E+2	2.2208E-1
7.3280E+2	2.2464E-1
7.3302E+2	2.3009E-1
7.3323E+2	2.3274E-1
7.3345E+2	2.3596E-1
7.3367E+2	2.3619E-1
7.3389E+2	2.3715E-1
7.3411E+2	2.4618E-1
7.3433E+2	2.4158E-1
7.3454E+2	2.4325E-1
7.3476E+2	2.3784E-1
7.3498E+2	2.4187E-1
7.3520E+2	2.4558E-1
7.3542E+2	2.3892E-1
7.3564E+2	2.5662E-1
7.3585E+2	2.5422E-1
7.3607E+2	2.4413E-1
7.3629E+2	2.5355E-1
7.3651E+2	2.5500E-1
7.3673E+2	2.6168E-1
7.3694E+2	2.5440E-1
7.3716E+2	2.7004E-1
7.3738E+2	2.6785E-1
7.3760E+2	2.7080E-1
7.3782E+2	2.7672E-1
7.3803E+2	2.7694E-1
7.3825E+2	2.7048E-1
7.3847E+2	2.7009E-1
7.3869E+2	2.7461E-1
