PLQY measurement:
Date: 	16.03.2023 12:16:45
Peak emission wavelength (nm): 787
 PLQY = 	 	3.16E-3
absorded light fraction (%): 94
MAYA saturard: FALSE
USB2000 saturaed: FALSE
wavelength	corrected total emission spec
6.7343E+2	5.3555E-3
6.7365E+2	5.3615E-3
6.7388E+2	1.0831E-2
6.7410E+2	5.1212E-3
6.7432E+2	1.0525E-2
6.7455E+2	7.0098E-3
6.7477E+2	1.1119E-2
6.7499E+2	7.8133E-3
6.7521E+2	5.0213E-3
6.7544E+2	5.5647E-3
6.7566E+2	6.9403E-3
6.7588E+2	5.0430E-3
6.7611E+2	3.5350E-3
6.7633E+2	6.5537E-3
6.7655E+2	7.1345E-3
6.7677E+2	4.6572E-3
6.7700E+2	8.5325E-3
6.7722E+2	6.8820E-3
6.7744E+2	5.7373E-3
6.7766E+2	1.2630E-3
6.7789E+2	1.0004E-2
6.7811E+2	6.2393E-3
6.7833E+2	6.3455E-3
6.7856E+2	1.0275E-2
6.7878E+2	5.1755E-3
6.7900E+2	1.0990E-2
6.7922E+2	6.2194E-3
6.7945E+2	4.1487E-3
6.7967E+2	4.8224E-3
6.7989E+2	5.2218E-3
6.8011E+2	8.7807E-3
6.8034E+2	6.6750E-3
6.8056E+2	5.4115E-3
6.8078E+2	1.1098E-2
6.8100E+2	6.4733E-3
6.8123E+2	9.6142E-3
6.8145E+2	8.2101E-3
6.8167E+2	2.9986E-3
6.8189E+2	9.1424E-3
6.8212E+2	8.5155E-3
6.8234E+2	6.7380E-3
6.8256E+2	6.9251E-3
6.8278E+2	9.7519E-3
6.8300E+2	6.6940E-3
6.8323E+2	6.7530E-3
6.8345E+2	8.6028E-3
6.8367E+2	9.7569E-3
6.8389E+2	6.8486E-3
6.8412E+2	6.2058E-3
6.8434E+2	7.8349E-3
6.8456E+2	9.2906E-3
6.8478E+2	6.2331E-3
6.8500E+2	1.0005E-2
6.8523E+2	7.1736E-3
6.8545E+2	6.3685E-3
6.8567E+2	8.2733E-3
6.8589E+2	9.1788E-3
6.8611E+2	8.7212E-3
6.8634E+2	6.5502E-3
6.8656E+2	8.7323E-3
6.8678E+2	4.8640E-3
6.8700E+2	1.0593E-2
6.8722E+2	1.2003E-2
6.8745E+2	5.8676E-3
6.8767E+2	8.2801E-3
6.8789E+2	9.1726E-3
6.8811E+2	6.6331E-3
6.8833E+2	7.8477E-3
6.8856E+2	8.3917E-3
6.8878E+2	7.2000E-3
6.8900E+2	7.6499E-3
6.8922E+2	1.1076E-2
6.8944E+2	7.7313E-3
6.8966E+2	9.4991E-3
6.8989E+2	8.3020E-3
6.9011E+2	5.7860E-3
6.9033E+2	5.3192E-3
6.9055E+2	6.5569E-3
6.9077E+2	8.7725E-3
6.9099E+2	7.2211E-3
6.9122E+2	5.7133E-3
6.9144E+2	6.8759E-3
6.9166E+2	6.9305E-3
6.9188E+2	6.5371E-3
6.9210E+2	7.3095E-3
6.9232E+2	8.5812E-3
6.9255E+2	6.0015E-3
6.9277E+2	7.9972E-3
6.9299E+2	5.8525E-3
6.9321E+2	1.0133E-2
6.9343E+2	7.9741E-3
6.9365E+2	1.0819E-2
6.9387E+2	7.8461E-3
6.9410E+2	8.3962E-3
6.9432E+2	1.1998E-2
6.9454E+2	7.2589E-3
6.9476E+2	6.9472E-3
6.9498E+2	7.7187E-3
6.9520E+2	9.4449E-3
6.9542E+2	6.9676E-3
6.9565E+2	1.5035E-2
6.9587E+2	7.1112E-3
6.9609E+2	7.3349E-3
6.9631E+2	5.0580E-3
6.9653E+2	9.0190E-3
6.9675E+2	8.4645E-3
6.9697E+2	9.8764E-3
6.9719E+2	9.5540E-3
6.9742E+2	4.7367E-3
6.9764E+2	6.3724E-3
6.9786E+2	6.7939E-3
6.9808E+2	1.0039E-2
6.9830E+2	7.6380E-3
6.9852E+2	7.7765E-3
6.9874E+2	1.1176E-2
6.9896E+2	7.6357E-3
6.9918E+2	1.0526E-2
6.9941E+2	1.0774E-2
6.9963E+2	1.0340E-2
6.9985E+2	8.2650E-3
7.0007E+2	1.0630E-2
7.0029E+2	8.7038E-3
7.0051E+2	7.8658E-3
7.0073E+2	8.8988E-3
7.0095E+2	1.0948E-2
7.0117E+2	9.9413E-3
7.0139E+2	9.7645E-3
7.0161E+2	8.8307E-3
7.0184E+2	8.6049E-3
7.0206E+2	-3.8876E-3
7.0228E+2	7.6798E-3
7.0250E+2	9.8340E-3
7.0272E+2	1.1451E-2
7.0294E+2	7.2605E-3
7.0316E+2	9.6229E-3
7.0338E+2	1.0137E-2
7.0360E+2	1.2234E-2
7.0382E+2	1.1846E-2
7.0404E+2	6.8738E-3
7.0426E+2	9.9709E-3
7.0448E+2	1.0930E-2
7.0470E+2	1.2693E-2
7.0492E+2	1.3154E-2
7.0515E+2	8.2668E-3
7.0537E+2	1.2144E-2
7.0559E+2	1.1853E-2
7.0581E+2	1.4561E-2
7.0603E+2	1.2305E-2
7.0625E+2	1.1481E-2
7.0647E+2	1.1449E-2
7.0669E+2	1.4276E-2
7.0691E+2	1.4063E-2
7.0713E+2	1.2884E-2
7.0735E+2	1.4203E-2
7.0757E+2	1.2092E-2
7.0779E+2	1.3747E-2
7.0801E+2	1.4777E-2
7.0823E+2	1.4444E-2
7.0845E+2	1.2958E-2
7.0867E+2	1.2049E-2
7.0889E+2	1.0397E-2
7.0911E+2	1.6394E-2
7.0933E+2	1.6342E-2
7.0955E+2	1.3076E-2
7.0977E+2	1.6469E-2
7.0999E+2	1.3903E-2
7.1021E+2	1.5355E-2
7.1043E+2	1.2158E-2
7.1065E+2	1.9567E-2
7.1087E+2	1.2875E-2
7.1109E+2	1.2993E-2
7.1131E+2	1.3270E-2
7.1153E+2	1.5804E-2
7.1175E+2	1.2833E-2
7.1197E+2	1.4127E-2
7.1219E+2	1.7063E-2
7.1241E+2	1.6724E-2
7.1263E+2	1.3152E-2
7.1285E+2	1.2296E-2
7.1307E+2	1.4013E-2
7.1329E+2	1.6005E-2
7.1351E+2	1.6816E-2
7.1373E+2	2.0187E-2
7.1395E+2	1.7255E-2
7.1417E+2	1.4432E-2
7.1439E+2	1.7828E-2
7.1461E+2	1.5656E-2
7.1483E+2	1.9238E-2
7.1505E+2	1.5747E-2
7.1527E+2	1.4798E-2
7.1549E+2	1.7730E-2
7.1571E+2	1.9620E-2
7.1593E+2	1.9675E-2
7.1615E+2	2.1321E-2
7.1637E+2	1.6825E-2
7.1659E+2	2.1118E-2
7.1681E+2	1.9008E-2
7.1703E+2	1.8056E-2
7.1725E+2	1.9703E-2
7.1747E+2	1.9713E-2
7.1769E+2	2.0152E-2
7.1791E+2	2.4639E-2
7.1813E+2	2.2038E-2
7.1835E+2	2.5045E-2
7.1857E+2	2.0463E-2
7.1879E+2	2.2274E-2
7.1901E+2	2.1333E-2
7.1923E+2	2.3081E-2
7.1944E+2	2.4703E-2
7.1966E+2	2.5962E-2
7.1988E+2	2.2734E-2
7.2010E+2	2.7156E-2
7.2032E+2	2.5315E-2
7.2054E+2	2.4839E-2
7.2076E+2	2.6862E-2
7.2098E+2	2.4702E-2
7.2120E+2	2.5564E-2
7.2142E+2	2.7383E-2
7.2164E+2	2.4298E-2
7.2186E+2	2.8803E-2
7.2208E+2	2.6221E-2
7.2230E+2	2.8117E-2
7.2252E+2	2.8259E-2
7.2273E+2	2.8718E-2
7.2295E+2	3.0256E-2
7.2317E+2	2.9332E-2
7.2339E+2	3.3342E-2
7.2361E+2	3.0236E-2
