PLQY measurement:
Date: 	22.03.2023 11:27:16
Peak emission wavelength (nm): 782
 PLQY = 	 	2.40E-3
absorded light fraction (%): 81
MAYA saturard: FALSE
USB2000 saturaed: FALSE
wavelength	corrected total emission spec
6.9188E+2	1.7273E-4
6.9210E+2	1.6980E-3
6.9232E+2	2.9663E-3
6.9255E+2	1.2690E-3
6.9277E+2	-5.5426E-4
6.9299E+2	2.4649E-3
6.9321E+2	-3.0137E-3
6.9343E+2	-1.7078E-4
6.9365E+2	1.0360E-3
6.9387E+2	7.4662E-4
6.9410E+2	6.9314E-4
6.9432E+2	1.4230E-3
6.9454E+2	-1.7463E-3
6.9476E+2	2.0425E-3
6.9498E+2	2.9367E-3
6.9520E+2	-1.4660E-3
6.9542E+2	-2.3053E-3
6.9565E+2	-2.0427E-3
6.9587E+2	1.3164E-3
6.9609E+2	-3.4805E-4
6.9631E+2	1.2742E-3
6.9653E+2	8.8648E-4
6.9675E+2	2.0520E-4
6.9697E+2	-2.5748E-3
6.9719E+2	3.8370E-5
6.9742E+2	-1.3278E-3
6.9764E+2	4.5881E-3
6.9786E+2	-2.2901E-4
6.9808E+2	4.5112E-3
6.9830E+2	2.5883E-3
6.9852E+2	1.1145E-3
6.9874E+2	6.7008E-4
6.9896E+2	3.8999E-3
6.9918E+2	1.0967E-3
6.9941E+2	-8.8103E-4
6.9963E+2	-9.7999E-4
6.9985E+2	5.8821E-3
7.0007E+2	-1.2520E-4
7.0029E+2	2.8637E-3
7.0051E+2	5.6434E-3
7.0073E+2	1.5828E-3
7.0095E+2	1.2690E-3
7.0117E+2	3.5789E-3
7.0139E+2	4.2433E-3
7.0161E+2	2.3161E-3
7.0184E+2	3.1774E-3
7.0206E+2	4.0111E-3
7.0228E+2	-9.6152E-4
7.0250E+2	4.6770E-4
7.0272E+2	2.8995E-3
7.0294E+2	4.5501E-3
7.0316E+2	-5.7542E-4
7.0338E+2	4.3900E-3
7.0360E+2	6.8371E-4
7.0382E+2	4.5460E-3
7.0404E+2	1.8249E-4
7.0426E+2	2.8783E-3
7.0448E+2	4.3063E-3
7.0470E+2	6.2131E-3
7.0492E+2	1.6926E-3
7.0515E+2	2.5947E-3
7.0537E+2	3.0480E-3
7.0559E+2	5.5113E-3
7.0581E+2	3.8325E-3
7.0603E+2	6.8359E-3
7.0625E+2	9.2301E-3
7.0647E+2	6.2145E-3
7.0669E+2	3.4736E-3
7.0691E+2	5.3152E-3
7.0713E+2	5.5557E-3
7.0735E+2	9.2984E-3
7.0757E+2	5.5837E-3
7.0779E+2	5.0087E-3
7.0801E+2	6.9513E-3
7.0823E+2	3.1627E-3
7.0845E+2	4.4647E-3
7.0867E+2	4.6829E-3
7.0889E+2	2.8665E-3
7.0911E+2	7.4701E-3
7.0933E+2	5.3848E-3
7.0955E+2	3.0850E-3
7.0977E+2	4.7738E-3
7.0999E+2	4.9527E-3
7.1021E+2	9.6320E-3
7.1043E+2	8.2679E-3
7.1065E+2	3.7789E-3
7.1087E+2	1.1891E-2
7.1109E+2	6.4735E-3
7.1131E+2	4.8927E-3
7.1153E+2	7.3491E-3
7.1175E+2	1.0268E-2
7.1197E+2	5.7770E-3
7.1219E+2	9.5635E-3
7.1241E+2	5.7921E-3
7.1263E+2	1.0489E-2
7.1285E+2	5.6233E-3
7.1307E+2	7.9522E-3
7.1329E+2	7.8942E-3
7.1351E+2	8.0051E-3
7.1373E+2	6.8801E-3
7.1395E+2	8.0674E-3
7.1417E+2	1.1810E-2
7.1439E+2	8.8238E-3
7.1461E+2	8.1436E-3
7.1483E+2	1.2604E-2
7.1505E+2	1.2324E-2
7.1527E+2	9.7420E-3
7.1549E+2	1.0969E-2
7.1571E+2	1.0693E-2
7.1593E+2	1.2235E-2
7.1615E+2	1.3884E-2
7.1637E+2	1.0109E-2
7.1659E+2	1.1925E-2
7.1681E+2	1.7335E-2
7.1703E+2	1.4438E-2
7.1725E+2	1.0801E-2
7.1747E+2	1.4223E-2
7.1769E+2	1.5825E-2
7.1791E+2	1.3523E-2
7.1813E+2	1.4048E-2
7.1835E+2	1.3289E-2
7.1857E+2	1.6329E-2
7.1879E+2	1.1984E-2
7.1901E+2	1.4484E-2
7.1923E+2	1.3021E-2
7.1944E+2	1.6008E-2
7.1966E+2	1.4831E-2
7.1988E+2	1.4911E-2
7.2010E+2	1.6975E-2
7.2032E+2	1.5444E-2
7.2054E+2	1.5826E-2
7.2076E+2	1.1655E-2
7.2098E+2	2.1327E-2
7.2120E+2	2.0885E-2
7.2142E+2	1.8555E-2
7.2164E+2	1.8416E-2
7.2186E+2	1.8789E-2
7.2208E+2	1.9066E-2
7.2230E+2	2.1495E-2
7.2252E+2	1.9916E-2
7.2273E+2	1.9064E-2
7.2295E+2	2.4029E-2
7.2317E+2	2.2129E-2
7.2339E+2	2.2643E-2
7.2361E+2	2.5302E-2
7.2383E+2	2.6941E-2
7.2405E+2	2.2923E-2
7.2427E+2	2.4645E-2
7.2449E+2	2.5297E-2
7.2471E+2	2.5142E-2
7.2493E+2	2.5223E-2
7.2514E+2	2.6231E-2
7.2536E+2	2.5509E-2
7.2558E+2	2.8711E-2
7.2580E+2	2.7016E-2
7.2602E+2	3.1712E-2
7.2624E+2	2.9423E-2
7.2646E+2	2.9588E-2
7.2668E+2	2.6306E-2
7.2690E+2	2.8776E-2
7.2711E+2	3.0174E-2
7.2733E+2	3.1157E-2
7.2755E+2	3.2853E-2
7.2777E+2	3.2038E-2
7.2799E+2	3.4796E-2
7.2821E+2	3.6702E-2
7.2843E+2	3.3391E-2
