PLQY measurement:
Date: 	22.03.2023 16:26:46
Peak emission wavelength (nm): 775
 PLQY = 	 	1.39E-2
absorded light fraction (%): 90
MAYA saturard: FALSE
USB2000 saturaed: FALSE
wavelength	corrected total emission spec
6.5149E+2	1.7314E-2
6.5172E+2	1.7118E-2
6.5194E+2	1.8832E-2
6.5217E+2	2.2370E-2
6.5239E+2	1.8215E-2
6.5262E+2	2.0283E-2
6.5284E+2	1.5996E-2
6.5307E+2	1.6305E-2
6.5329E+2	1.4098E-2
6.5352E+2	1.9843E-2
6.5374E+2	1.6972E-2
6.5396E+2	2.1613E-2
6.5419E+2	1.6656E-2
6.5441E+2	2.3474E-2
6.5464E+2	2.0529E-2
6.5486E+2	2.0444E-2
6.5509E+2	9.9062E-3
6.5531E+2	1.9098E-2
6.5554E+2	1.2531E-2
6.5576E+2	1.9307E-2
6.5598E+2	1.7641E-2
6.5621E+2	1.8057E-2
6.5643E+2	2.2094E-2
6.5666E+2	2.0625E-2
6.5688E+2	1.7892E-2
6.5711E+2	1.9006E-2
6.5733E+2	1.5708E-2
6.5755E+2	1.6187E-2
6.5778E+2	2.1076E-2
6.5800E+2	1.5657E-2
6.5823E+2	2.1622E-2
6.5845E+2	1.5781E-2
6.5867E+2	1.4475E-2
6.5890E+2	2.0810E-2
6.5912E+2	1.5346E-2
6.5935E+2	1.8934E-2
6.5957E+2	1.8894E-2
6.5980E+2	2.2776E-2
6.6002E+2	1.3032E-2
6.6024E+2	1.8225E-2
6.6047E+2	1.5741E-2
6.6069E+2	1.4609E-2
6.6092E+2	1.5880E-2
6.6114E+2	1.7350E-2
6.6136E+2	1.9071E-2
6.6159E+2	1.9574E-2
6.6181E+2	1.7767E-2
6.6204E+2	2.3240E-2
6.6226E+2	1.9201E-2
6.6248E+2	1.9343E-2
6.6271E+2	1.5983E-2
6.6293E+2	1.4891E-2
6.6315E+2	2.0059E-2
6.6338E+2	1.1729E-2
6.6360E+2	1.9019E-2
6.6383E+2	1.5222E-2
6.6405E+2	2.0519E-2
6.6427E+2	1.7458E-2
6.6450E+2	1.6980E-2
6.6472E+2	2.0398E-2
6.6494E+2	1.9450E-2
6.6517E+2	1.7184E-2
6.6539E+2	1.4982E-2
6.6562E+2	1.8615E-2
6.6584E+2	1.9109E-2
6.6606E+2	1.7391E-2
6.6629E+2	1.6672E-2
6.6651E+2	1.7424E-2
6.6673E+2	1.5826E-2
6.6696E+2	1.9792E-2
6.6718E+2	1.6729E-2
6.6740E+2	1.5788E-2
6.6763E+2	2.1099E-2
6.6785E+2	1.5986E-2
6.6807E+2	1.7601E-2
6.6830E+2	1.4925E-2
6.6852E+2	2.1488E-2
6.6874E+2	1.9795E-2
6.6897E+2	1.7516E-2
6.6919E+2	1.7855E-2
6.6941E+2	1.7803E-2
6.6964E+2	1.6228E-2
6.6986E+2	1.7944E-2
6.7008E+2	1.6375E-2
6.7031E+2	1.6103E-2
6.7053E+2	1.7179E-2
6.7075E+2	1.4468E-2
6.7098E+2	1.8261E-2
6.7120E+2	1.7672E-2
6.7142E+2	1.9337E-2
6.7165E+2	1.4687E-2
6.7187E+2	1.8783E-2
6.7209E+2	1.3798E-2
6.7232E+2	2.0005E-2
6.7254E+2	1.4293E-2
6.7276E+2	1.7072E-2
6.7298E+2	1.7812E-2
6.7321E+2	1.7178E-2
6.7343E+2	1.3336E-2
6.7365E+2	1.3509E-2
6.7388E+2	1.8019E-2
6.7410E+2	2.0583E-2
6.7432E+2	2.2201E-2
6.7455E+2	1.8410E-2
6.7477E+2	1.7960E-2
6.7499E+2	1.6128E-2
6.7521E+2	1.7545E-2
6.7544E+2	1.6179E-2
6.7566E+2	1.6718E-2
6.7588E+2	1.4028E-2
6.7611E+2	1.5061E-2
6.7633E+2	1.7200E-2
6.7655E+2	1.8599E-2
6.7677E+2	1.5790E-2
6.7700E+2	1.5840E-2
6.7722E+2	1.9880E-2
6.7744E+2	2.1044E-2
6.7766E+2	1.8196E-2
6.7789E+2	1.6151E-2
6.7811E+2	1.6309E-2
6.7833E+2	2.1442E-2
6.7856E+2	2.0091E-2
6.7878E+2	1.7138E-2
6.7900E+2	2.0721E-2
6.7922E+2	2.0264E-2
6.7945E+2	2.0381E-2
6.7967E+2	1.9398E-2
6.7989E+2	1.2635E-2
6.8011E+2	2.4277E-2
6.8034E+2	1.8937E-2
6.8056E+2	2.1703E-2
6.8078E+2	1.6827E-2
6.8100E+2	1.8508E-2
6.8123E+2	2.1915E-2
6.8145E+2	2.3557E-2
6.8167E+2	2.1333E-2
6.8189E+2	1.9297E-2
6.8212E+2	1.9231E-2
6.8234E+2	1.7655E-2
6.8256E+2	2.0328E-2
6.8278E+2	2.2325E-2
6.8300E+2	2.1511E-2
6.8323E+2	1.8542E-2
6.8345E+2	2.0647E-2
6.8367E+2	1.9922E-2
6.8389E+2	2.1783E-2
6.8412E+2	1.8709E-2
6.8434E+2	1.5880E-2
6.8456E+2	2.3982E-2
6.8478E+2	2.3395E-2
6.8500E+2	1.7833E-2
6.8523E+2	1.7544E-2
6.8545E+2	2.5870E-2
6.8567E+2	1.7477E-2
6.8589E+2	2.2101E-2
