PLQY measurement:
Date: 	22.03.2023 16:28:53
Peak emission wavelength (nm): 769
 PLQY = 	 	8.19E-3
absorded light fraction (%): 91
MAYA saturard: FALSE
USB2000 saturaed: FALSE
wavelength	corrected total emission spec
6.5149E+2	1.3351E-2
6.5172E+2	1.7030E-2
6.5194E+2	2.3479E-2
6.5217E+2	1.8915E-2
6.5239E+2	1.5026E-2
6.5262E+2	1.7231E-2
6.5284E+2	1.8258E-2
6.5307E+2	1.7825E-2
6.5329E+2	1.5963E-2
6.5352E+2	2.3957E-2
6.5374E+2	2.3846E-2
6.5396E+2	2.3511E-2
6.5419E+2	1.7518E-2
6.5441E+2	2.1106E-2
6.5464E+2	2.1432E-2
6.5486E+2	2.2717E-2
6.5509E+2	1.6419E-2
6.5531E+2	1.7044E-2
6.5554E+2	1.6332E-2
6.5576E+2	2.0586E-2
6.5598E+2	2.1262E-2
6.5621E+2	2.2862E-2
6.5643E+2	2.5066E-2
6.5666E+2	1.6937E-2
6.5688E+2	2.2083E-2
6.5711E+2	1.8837E-2
6.5733E+2	2.6048E-2
6.5755E+2	1.3533E-2
6.5778E+2	2.4696E-2
6.5800E+2	1.7969E-2
6.5823E+2	2.4181E-2
6.5845E+2	1.6451E-2
6.5867E+2	1.8574E-2
6.5890E+2	2.6617E-2
6.5912E+2	1.3428E-2
6.5935E+2	2.2514E-2
6.5957E+2	2.2510E-2
6.5980E+2	2.2568E-2
6.6002E+2	1.6266E-2
6.6024E+2	2.2114E-2
6.6047E+2	1.9583E-2
6.6069E+2	1.9973E-2
6.6092E+2	2.4574E-2
6.6114E+2	1.2455E-2
6.6136E+2	1.9399E-2
6.6159E+2	2.7040E-2
6.6181E+2	2.1740E-2
6.6204E+2	2.9537E-2
6.6226E+2	2.3691E-2
6.6248E+2	2.2360E-2
6.6271E+2	2.1479E-2
6.6293E+2	1.9037E-2
6.6315E+2	2.1195E-2
6.6338E+2	1.8010E-2
6.6360E+2	2.1609E-2
6.6383E+2	1.7080E-2
6.6405E+2	2.0277E-2
6.6427E+2	1.9713E-2
6.6450E+2	1.2435E-2
6.6472E+2	2.0479E-2
6.6494E+2	2.4260E-2
6.6517E+2	1.7144E-2
6.6539E+2	1.4982E-2
6.6562E+2	1.9333E-2
6.6584E+2	2.3811E-2
6.6606E+2	1.6038E-2
6.6629E+2	2.2632E-2
6.6651E+2	2.0835E-2
6.6673E+2	1.6697E-2
6.6696E+2	2.7502E-2
6.6718E+2	1.7203E-2
6.6740E+2	1.9574E-2
6.6763E+2	2.3776E-2
6.6785E+2	2.1802E-2
6.6807E+2	1.9563E-2
6.6830E+2	2.1587E-2
6.6852E+2	2.7279E-2
6.6874E+2	1.8702E-2
6.6897E+2	1.5488E-2
6.6919E+2	1.9179E-2
6.6941E+2	2.0720E-2
6.6964E+2	2.0498E-2
6.6986E+2	1.8991E-2
6.7008E+2	1.7808E-2
6.7031E+2	2.0934E-2
6.7053E+2	1.4246E-2
6.7075E+2	1.5239E-2
6.7098E+2	2.0993E-2
6.7120E+2	1.6981E-2
6.7142E+2	1.4160E-2
6.7165E+2	1.6371E-2
6.7187E+2	1.6222E-2
6.7209E+2	1.5745E-2
6.7232E+2	1.6879E-2
6.7254E+2	1.5815E-2
6.7276E+2	2.7215E-2
6.7298E+2	1.7698E-2
6.7321E+2	2.2065E-2
6.7343E+2	1.6324E-2
6.7365E+2	1.5888E-2
6.7388E+2	1.7454E-2
6.7410E+2	1.7758E-2
6.7432E+2	2.1261E-2
6.7455E+2	1.9048E-2
6.7477E+2	1.9121E-2
6.7499E+2	1.7962E-2
6.7521E+2	1.9712E-2
6.7544E+2	1.7410E-2
6.7566E+2	2.0032E-2
6.7588E+2	1.5516E-2
6.7611E+2	1.8477E-2
6.7633E+2	2.1648E-2
6.7655E+2	1.5379E-2
6.7677E+2	1.7712E-2
6.7700E+2	1.7242E-2
6.7722E+2	2.0395E-2
6.7744E+2	1.9683E-2
6.7766E+2	2.0105E-2
6.7789E+2	2.2605E-2
6.7811E+2	2.1691E-2
6.7833E+2	1.6580E-2
6.7856E+2	1.4873E-2
6.7878E+2	2.0965E-2
6.7900E+2	2.1922E-2
6.7922E+2	1.7757E-2
6.7945E+2	2.1106E-2
6.7967E+2	2.6603E-2
6.7989E+2	1.7951E-2
6.8011E+2	2.5938E-2
6.8034E+2	2.6253E-2
6.8056E+2	1.9113E-2
6.8078E+2	1.5569E-2
6.8100E+2	1.8472E-2
6.8123E+2	2.3527E-2
6.8145E+2	2.5417E-2
6.8167E+2	1.9905E-2
6.8189E+2	1.6587E-2
6.8212E+2	2.2328E-2
6.8234E+2	2.1991E-2
6.8256E+2	2.0648E-2
6.8278E+2	1.7718E-2
6.8300E+2	2.1653E-2
6.8323E+2	2.4370E-2
6.8345E+2	2.6852E-2
6.8367E+2	1.9359E-2
6.8389E+2	1.8689E-2
6.8412E+2	2.0639E-2
6.8434E+2	1.3708E-2
6.8456E+2	2.2513E-2
6.8478E+2	2.1089E-2
6.8500E+2	1.9926E-2
6.8523E+2	1.5489E-2
6.8545E+2	2.0760E-2
6.8567E+2	1.8518E-2
6.8589E+2	1.7734E-2
6.8611E+2	2.1665E-2
6.8634E+2	2.2677E-2
6.8656E+2	1.7258E-2
6.8678E+2	2.2143E-2
6.8700E+2	2.6868E-2
6.8722E+2	2.3731E-2
6.8745E+2	2.0304E-2
6.8767E+2	2.1733E-2
6.8789E+2	2.3950E-2
6.8811E+2	1.4822E-2
6.8833E+2	2.0600E-2
6.8856E+2	1.9558E-2
6.8878E+2	2.2374E-2
6.8900E+2	1.7253E-2
6.8922E+2	2.8122E-2
6.8944E+2	2.3910E-2
6.8966E+2	2.1683E-2
6.8989E+2	2.1618E-2
6.9011E+2	2.2041E-2
6.9033E+2	2.5280E-2
6.9055E+2	2.1454E-2
6.9077E+2	2.2366E-2
6.9099E+2	2.6624E-2
6.9122E+2	2.2079E-2
6.9144E+2	2.0721E-2
6.9166E+2	2.2840E-2
6.9188E+2	2.2774E-2
6.9210E+2	2.1000E-2
6.9232E+2	2.5611E-2
6.9255E+2	2.5738E-2
6.9277E+2	2.2619E-2
6.9299E+2	2.4952E-2
6.9321E+2	2.0306E-2
6.9343E+2	2.6077E-2
6.9365E+2	2.5979E-2
6.9387E+2	2.2490E-2
6.9410E+2	2.3371E-2
6.9432E+2	2.4126E-2
6.9454E+2	2.4162E-2
6.9476E+2	2.2663E-2
6.9498E+2	2.6496E-2
6.9520E+2	2.7582E-2
6.9542E+2	2.7430E-2
6.9565E+2	2.2392E-2
6.9587E+2	2.5244E-2
6.9609E+2	3.1196E-2
6.9631E+2	2.2755E-2
6.9653E+2	2.9524E-2
