PLQY measurement:
Date: 	29.03.2023 10:41:58
Peak emission wavelength (nm): 786
 PLQY = 	 	1.08E-2
absorded light fraction (%): 85
MAYA saturard: FALSE
USB2000 saturaed: FALSE
wavelength	corrected total emission spec
6.8456E+2	9.1506E-3
6.8478E+2	6.0235E-3
6.8500E+2	1.9675E-3
6.8523E+2	5.1399E-3
6.8545E+2	6.7022E-3
6.8567E+2	3.9284E-3
6.8589E+2	6.2810E-3
6.8611E+2	6.0633E-3
6.8634E+2	8.6645E-3
6.8656E+2	1.8485E-3
6.8678E+2	3.8857E-3
6.8700E+2	3.3156E-3
6.8722E+2	5.4384E-3
6.8745E+2	3.6056E-3
6.8767E+2	6.5693E-3
6.8789E+2	5.8781E-3
6.8811E+2	7.9297E-3
6.8833E+2	3.3652E-3
6.8856E+2	6.3924E-3
6.8878E+2	4.4966E-3
6.8900E+2	5.0457E-3
6.8922E+2	9.3967E-3
6.8944E+2	8.7450E-3
6.8966E+2	7.5291E-3
6.8989E+2	7.5338E-3
6.9011E+2	4.1040E-3
6.9033E+2	5.2655E-3
6.9055E+2	5.9937E-3
6.9077E+2	6.2144E-3
6.9099E+2	9.5478E-3
6.9122E+2	3.7110E-3
6.9144E+2	4.3974E-3
6.9166E+2	3.8577E-3
6.9188E+2	6.0455E-3
6.9210E+2	5.5717E-4
6.9232E+2	1.8142E-3
6.9255E+2	5.2216E-3
6.9277E+2	6.2288E-3
6.9299E+2	2.9658E-3
6.9321E+2	4.9351E-3
6.9343E+2	5.8591E-3
6.9365E+2	8.7077E-3
6.9387E+2	6.8113E-3
6.9410E+2	1.3863E-3
6.9432E+2	3.6163E-3
6.9454E+2	4.2746E-3
6.9476E+2	4.3973E-3
6.9498E+2	3.5735E-3
6.9520E+2	5.5658E-3
6.9542E+2	4.8955E-3
6.9565E+2	8.3516E-3
6.9587E+2	8.2856E-3
6.9609E+2	4.0219E-3
6.9631E+2	7.0786E-3
6.9653E+2	6.5266E-3
6.9675E+2	6.6177E-3
6.9697E+2	3.3306E-3
6.9719E+2	5.6659E-3
6.9742E+2	8.2477E-3
6.9764E+2	3.9254E-3
6.9786E+2	5.2417E-3
6.9808E+2	6.2522E-3
6.9830E+2	6.3058E-3
6.9852E+2	1.9884E-3
6.9874E+2	8.1926E-3
6.9896E+2	6.2221E-3
6.9918E+2	7.0847E-3
6.9941E+2	9.8927E-3
6.9963E+2	9.1968E-3
6.9985E+2	3.8127E-3
7.0007E+2	4.0691E-3
7.0029E+2	7.7408E-3
7.0051E+2	5.9680E-3
7.0073E+2	4.2375E-3
7.0095E+2	6.9298E-3
7.0117E+2	6.5116E-3
7.0139E+2	5.8810E-3
7.0161E+2	8.3725E-3
7.0184E+2	7.8260E-3
7.0206E+2	9.7623E-3
7.0228E+2	1.0527E-2
7.0250E+2	9.9940E-3
7.0272E+2	6.7082E-3
7.0294E+2	1.0633E-2
7.0316E+2	7.0030E-3
7.0338E+2	6.8113E-3
7.0360E+2	7.9482E-3
7.0382E+2	8.0803E-3
7.0404E+2	4.6109E-3
7.0426E+2	1.1088E-2
7.0448E+2	6.8659E-3
7.0470E+2	5.2321E-3
7.0492E+2	5.1623E-3
7.0515E+2	8.7737E-3
7.0537E+2	7.7104E-3
7.0559E+2	9.2296E-3
7.0581E+2	8.0013E-3
7.0603E+2	9.9780E-3
7.0625E+2	6.3090E-3
7.0647E+2	9.9312E-3
7.0669E+2	6.9592E-3
7.0691E+2	6.8169E-3
7.0713E+2	7.6970E-3
7.0735E+2	8.0515E-3
7.0757E+2	6.5203E-3
7.0779E+2	1.0906E-2
7.0801E+2	1.1337E-2
7.0823E+2	9.0042E-3
7.0845E+2	9.4241E-3
7.0867E+2	9.4247E-3
7.0889E+2	7.9650E-3
7.0911E+2	8.1151E-3
7.0933E+2	9.8917E-3
7.0955E+2	1.0564E-2
7.0977E+2	1.1298E-2
7.0999E+2	7.8661E-3
7.1021E+2	8.7595E-3
7.1043E+2	8.0589E-3
7.1065E+2	8.0215E-3
7.1087E+2	8.0930E-3
7.1109E+2	7.9648E-3
7.1131E+2	1.0720E-2
7.1153E+2	1.1208E-2
7.1175E+2	1.2879E-2
7.1197E+2	9.9116E-3
7.1219E+2	1.3990E-2
7.1241E+2	1.2134E-2
7.1263E+2	1.3289E-2
7.1285E+2	1.3471E-2
7.1307E+2	1.3933E-2
7.1329E+2	1.1648E-2
7.1351E+2	1.2944E-2
7.1373E+2	1.0383E-2
7.1395E+2	9.5609E-3
7.1417E+2	1.3415E-2
7.1439E+2	1.6700E-2
7.1461E+2	1.5499E-2
7.1483E+2	1.3279E-2
7.1505E+2	1.3132E-2
7.1527E+2	1.5986E-2
7.1549E+2	1.7271E-2
7.1571E+2	1.3430E-2
7.1593E+2	1.3774E-2
7.1615E+2	1.6122E-2
7.1637E+2	1.6214E-2
7.1659E+2	1.2225E-2
7.1681E+2	1.3655E-2
7.1703E+2	1.5357E-2
7.1725E+2	1.5142E-2
7.1747E+2	1.9316E-2
7.1769E+2	1.5538E-2
7.1791E+2	1.9065E-2
7.1813E+2	1.7802E-2
7.1835E+2	1.4560E-2
7.1857E+2	1.9500E-2
7.1879E+2	1.5894E-2
7.1901E+2	1.9915E-2
7.1923E+2	1.9815E-2
7.1944E+2	2.1073E-2
7.1966E+2	1.9615E-2
7.1988E+2	1.9798E-2
7.2010E+2	1.9777E-2
7.2032E+2	1.9807E-2
7.2054E+2	2.0462E-2
7.2076E+2	1.9748E-2
7.2098E+2	1.8725E-2
7.2120E+2	2.0949E-2
7.2142E+2	1.8598E-2
7.2164E+2	2.1635E-2
7.2186E+2	1.9793E-2
7.2208E+2	2.2574E-2
7.2230E+2	1.9579E-2
7.2252E+2	1.8407E-2
7.2273E+2	2.0369E-2
7.2295E+2	2.1668E-2
7.2317E+2	2.4392E-2
7.2339E+2	2.4270E-2
7.2361E+2	2.4691E-2
7.2383E+2	2.6657E-2
7.2405E+2	2.5434E-2
7.2427E+2	2.5652E-2
7.2449E+2	2.4030E-2
7.2471E+2	2.5560E-2
7.2493E+2	2.5713E-2
7.2514E+2	2.8544E-2
7.2536E+2	2.7642E-2
7.2558E+2	2.6539E-2
7.2580E+2	3.0491E-2
7.2602E+2	2.6854E-2
7.2624E+2	2.6414E-2
7.2646E+2	2.6152E-2
7.2668E+2	3.0533E-2
7.2690E+2	2.9867E-2
7.2711E+2	2.4740E-2
7.2733E+2	2.8993E-2
7.2755E+2	3.0181E-2
7.2777E+2	3.2160E-2
7.2799E+2	2.9456E-2
7.2821E+2	3.0321E-2
7.2843E+2	3.5101E-2
7.2865E+2	3.3932E-2
7.2886E+2	3.4350E-2
7.2908E+2	3.5130E-2
7.2930E+2	3.5327E-2
7.2952E+2	3.6789E-2
7.2974E+2	3.4216E-2
