PLQY measurement:
Date: 	29.03.2023 12:40:08
Peak emission wavelength (nm): 776
 PLQY = 	 	1.66E-2
absorded light fraction (%): 85
MAYA saturard: FALSE
USB2000 saturaed: FALSE
wavelength	corrected total emission spec
6.7833E+2	-1.4036E-3
6.7856E+2	2.4667E-3
6.7878E+2	-1.0059E-3
6.7900E+2	4.7599E-3
6.7922E+2	2.5284E-3
6.7945E+2	1.6392E-3
6.7967E+2	8.1097E-4
6.7989E+2	4.3828E-3
6.8011E+2	5.3291E-3
6.8034E+2	1.6868E-3
6.8056E+2	1.6407E-3
6.8078E+2	2.8176E-3
6.8100E+2	2.3970E-3
6.8123E+2	-2.3355E-3
6.8145E+2	1.9166E-3
6.8167E+2	2.1847E-3
6.8189E+2	-4.9919E-4
6.8212E+2	-2.0363E-3
6.8234E+2	3.3406E-3
6.8256E+2	6.2439E-3
6.8278E+2	1.0489E-3
6.8300E+2	-2.9012E-3
6.8323E+2	-1.0172E-3
6.8345E+2	4.7386E-3
6.8367E+2	1.7458E-3
6.8389E+2	-1.6875E-3
6.8412E+2	4.4508E-3
6.8434E+2	5.2840E-3
6.8456E+2	5.7366E-4
6.8478E+2	8.6648E-4
6.8500E+2	6.9768E-4
6.8523E+2	6.5607E-3
6.8545E+2	4.7972E-3
6.8567E+2	4.3032E-4
6.8589E+2	3.3831E-3
6.8611E+2	3.0178E-3
6.8634E+2	4.0351E-3
6.8656E+2	1.6002E-3
6.8678E+2	-2.2046E-4
6.8700E+2	3.4394E-3
6.8722E+2	2.4171E-3
6.8745E+2	2.6596E-3
6.8767E+2	3.6131E-3
6.8789E+2	4.4291E-3
6.8811E+2	1.3648E-5
6.8833E+2	1.7848E-3
6.8856E+2	3.5498E-3
6.8878E+2	4.4966E-3
6.8900E+2	9.2233E-4
6.8922E+2	3.8047E-3
6.8944E+2	2.6897E-3
6.8966E+2	1.0390E-3
6.8989E+2	3.9893E-3
6.9011E+2	2.4490E-3
6.9033E+2	5.0640E-3
6.9055E+2	2.6281E-3
6.9077E+2	-9.1073E-4
6.9099E+2	5.8303E-3
6.9122E+2	4.8456E-3
6.9144E+2	5.0503E-3
6.9166E+2	2.7669E-3
6.9188E+2	3.5874E-3
6.9210E+2	4.1124E-3
6.9232E+2	1.9599E-3
6.9255E+2	7.0723E-3
6.9277E+2	2.0983E-3
6.9299E+2	6.2743E-3
6.9321E+2	1.0133E-3
6.9343E+2	4.2827E-3
6.9365E+2	1.6786E-3
6.9387E+2	3.6938E-3
6.9410E+2	6.2645E-3
6.9432E+2	5.4701E-3
6.9454E+2	3.4796E-3
6.9476E+2	4.6835E-3
6.9498E+2	5.7435E-3
6.9520E+2	4.9041E-3
6.9542E+2	4.3386E-3
6.9565E+2	4.3827E-3
6.9587E+2	4.5816E-3
6.9609E+2	2.5008E-3
6.9631E+2	5.5599E-3
6.9653E+2	6.4623E-3
6.9675E+2	9.1827E-3
6.9697E+2	4.9190E-3
6.9719E+2	1.8545E-3
6.9742E+2	5.8730E-3
6.9764E+2	2.3323E-3
6.9786E+2	9.1857E-3
6.9808E+2	4.2444E-3
6.9830E+2	6.0774E-3
6.9852E+2	4.7495E-3
6.9874E+2	5.7525E-3
6.9896E+2	4.0009E-3
6.9918E+2	5.9753E-3
6.9941E+2	9.7291E-3
6.9963E+2	6.6212E-3
6.9985E+2	8.6036E-3
7.0007E+2	3.2678E-3
7.0029E+2	7.6158E-3
7.0051E+2	7.8658E-3
7.0073E+2	4.7485E-3
7.0095E+2	5.5613E-3
7.0117E+2	5.4926E-3
7.0139E+2	4.0448E-3
7.0161E+2	1.9445E-3
7.0184E+2	9.9773E-3
7.0206E+2	1.0589E-2
7.0228E+2	5.5349E-3
7.0250E+2	5.9201E-3
7.0272E+2	3.1452E-3
7.0294E+2	7.8246E-3
7.0316E+2	6.5500E-3
7.0338E+2	7.7529E-3
7.0360E+2	1.0732E-2
7.0382E+2	8.5800E-3
7.0404E+2	1.0098E-2
7.0426E+2	8.2585E-3
7.0448E+2	6.1623E-3
7.0470E+2	8.9381E-3
7.0492E+2	7.2539E-3
7.0515E+2	8.8823E-3
7.0537E+2	7.6984E-3
7.0559E+2	7.4366E-3
7.0581E+2	5.7547E-3
7.0603E+2	5.5167E-3
7.0625E+2	7.8054E-3
7.0647E+2	6.4176E-3
7.0669E+2	1.0683E-2
7.0691E+2	4.0877E-3
7.0713E+2	1.0183E-2
7.0735E+2	8.4078E-3
7.0757E+2	8.6423E-3
7.0779E+2	1.1237E-2
7.0801E+2	6.5966E-3
7.0823E+2	8.4731E-3
7.0845E+2	1.0531E-2
7.0867E+2	1.0954E-2
7.0889E+2	1.1724E-2
7.0911E+2	1.0836E-2
7.0933E+2	8.6743E-3
7.0955E+2	1.0984E-2
7.0977E+2	9.9910E-3
7.0999E+2	7.4116E-3
7.1021E+2	8.6315E-3
7.1043E+2	1.3017E-2
7.1065E+2	1.1035E-2
7.1087E+2	1.4484E-2
7.1109E+2	1.1363E-2
7.1131E+2	1.5024E-2
7.1153E+2	1.5021E-2
7.1175E+2	1.2614E-2
7.1197E+2	1.3036E-2
7.1219E+2	1.2568E-2
7.1241E+2	1.4961E-2
7.1263E+2	1.3792E-2
7.1285E+2	1.3357E-2
7.1307E+2	1.3261E-2
7.1329E+2	1.4276E-2
7.1351E+2	1.6419E-2
7.1373E+2	1.8759E-2
7.1395E+2	1.5150E-2
7.1417E+2	1.6760E-2
7.1439E+2	1.1216E-2
7.1461E+2	1.8247E-2
7.1483E+2	1.7428E-2
7.1505E+2	1.7464E-2
7.1527E+2	1.5863E-2
