PLQY measurement:
Date: 	05.04.2023 11:37:58
Peak emission wavelength (nm): 770
 PLQY = 	 	1.36E-3
absorded light fraction (%): 87
MAYA saturard: FALSE
USB2000 saturaed: FALSE
wavelength	corrected total emission spec
6.7566E+2	6.5531E-4
6.7588E+2	-9.2232E-4
6.7611E+2	2.4062E-3
6.7633E+2	-3.5586E-4
6.7655E+2	5.4323E-3
6.7677E+2	4.1397E-4
6.7700E+2	3.1001E-4
6.7722E+2	4.9957E-3
6.7744E+2	3.2953E-3
6.7766E+2	4.4206E-3
6.7789E+2	1.7897E-3
6.7811E+2	5.4191E-4
6.7833E+2	5.1173E-4
6.7856E+2	2.4521E-3
6.7878E+2	3.4990E-3
6.7900E+2	3.0277E-3
6.7922E+2	4.2286E-3
6.7945E+2	4.4243E-3
6.7967E+2	-1.3178E-3
6.7989E+2	2.5892E-3
6.8011E+2	-7.0765E-4
6.8034E+2	-2.5950E-4
6.8056E+2	3.9003E-3
6.8078E+2	-5.7502E-4
6.8100E+2	1.9233E-3
6.8123E+2	3.9976E-3
6.8145E+2	3.4900E-3
6.8167E+2	2.6988E-3
6.8189E+2	2.2963E-3
6.8212E+2	3.8305E-3
6.8234E+2	6.2547E-4
6.8256E+2	4.6830E-3
6.8278E+2	1.4600E-3
6.8300E+2	-3.8211E-4
6.8323E+2	2.1756E-3
6.8345E+2	2.1154E-3
6.8367E+2	4.8010E-3
6.8389E+2	-1.1250E-4
6.8412E+2	1.6708E-3
6.8434E+2	3.4059E-3
6.8456E+2	3.5259E-3
6.8478E+2	2.7532E-3
6.8500E+2	-1.5768E-3
6.8523E+2	5.7528E-3
6.8545E+2	4.7555E-3
6.8567E+2	5.4415E-3
6.8589E+2	-4.0209E-4
6.8611E+2	-2.5610E-3
6.8634E+2	9.5351E-4
6.8656E+2	1.2278E-3
6.8678E+2	1.8051E-3
6.8700E+2	4.6088E-3
6.8722E+2	1.9639E-3
6.8745E+2	1.3572E-3
6.8767E+2	-3.5857E-3
6.8789E+2	4.4701E-3
6.8811E+2	3.6577E-3
6.8833E+2	2.5341E-3
6.8856E+2	1.2785E-3
6.8878E+2	1.8340E-3
6.8900E+2	7.0531E-3
6.8922E+2	2.9788E-4
6.8944E+2	4.3252E-4
6.8966E+2	-2.3748E-3
6.8989E+2	5.1079E-3
6.9011E+2	1.1034E-3
6.9033E+2	1.8940E-3
6.9055E+2	5.6719E-3
6.9077E+2	2.6384E-3
6.9099E+2	-5.7501E-4
6.9122E+2	5.2061E-4
6.9144E+2	5.8499E-3
6.9166E+2	9.0456E-4
6.9188E+2	3.6671E-3
6.9210E+2	7.2962E-4
6.9232E+2	3.4431E-4
6.9255E+2	3.8336E-3
6.9277E+2	4.5001E-3
6.9299E+2	6.5906E-5
6.9321E+2	7.8040E-3
6.9343E+2	3.1266E-3
6.9365E+2	6.7537E-3
6.9387E+2	5.9075E-3
6.9410E+2	4.2635E-3
6.9432E+2	1.5275E-3
6.9454E+2	6.0470E-3
6.9476E+2	1.7433E-3
6.9498E+2	1.8322E-3
6.9520E+2	4.6057E-3
6.9542E+2	7.9778E-3
6.9565E+2	5.8177E-3
6.9587E+2	5.4850E-3
6.9609E+2	3.7899E-3
6.9631E+2	8.6874E-3
6.9653E+2	4.7921E-3
6.9675E+2	9.2981E-3
6.9697E+2	2.3314E-3
6.9719E+2	6.8810E-3
6.9742E+2	6.3837E-3
6.9764E+2	4.7666E-3
6.9786E+2	3.2315E-3
6.9808E+2	3.9394E-3
6.9830E+2	4.0981E-3
6.9852E+2	7.2319E-3
6.9874E+2	8.1041E-3
6.9896E+2	6.8280E-3
6.9918E+2	6.1014E-3
6.9941E+2	8.7348E-3
6.9963E+2	3.7692E-3
6.9985E+2	7.1864E-3
7.0007E+2	4.1692E-3
7.0029E+2	8.1910E-3
7.0051E+2	5.0940E-3
7.0073E+2	4.8482E-3
7.0095E+2	4.0185E-3
7.0117E+2	9.9786E-3
7.0139E+2	7.2583E-3
