nm, %R
1200.000000, 104.183800
1190.000000, 104.240200
1180.000000, 104.323100
1170.000000, 104.414600
1160.000000, 104.516900
1150.000000, 104.644200
1140.000000, 104.753500
1130.000000, 104.854300
1120.000000, 104.942900
1110.000000, 105.045400
1100.000000, 105.183600
1090.000000, 105.333300
1080.000000, 105.497400
1070.000000, 105.665100
1060.000000, 105.852800
1050.000000, 106.121600
1040.000000, 106.337500
1030.000000, 106.612300
1020.000000, 106.927600
1010.000000, 107.246800
1000.000000, 107.639500
990.000000, 108.054600
980.000000, 108.538000
970.000000, 109.037800
960.000000, 109.635400
950.000000, 110.309000
940.000000, 111.072200
930.000000, 111.892300
920.000000, 112.770200
910.000000, 113.776500
900.000000, 114.801300
890.000000, 115.802000
880.000000, 116.932600
870.000000, 117.767600
860.000000, 118.407200
850.000000, 123.292200
840.000000, 123.604600
830.000000, 123.546000
820.000000, 123.252500
810.000000, 122.436100
800.000000, 121.525100
790.000000, 120.779000
780.000000, 120.057200
770.000000, 119.136200
760.000000, 118.509400
750.000000, 117.921700
740.000000, 117.327100
730.000000, 116.830200
720.000000, 116.356300
710.000000, 116.099100
700.000000, 115.680700
690.000000, 115.253600
680.000000, 114.889400
670.000000, 114.524200
660.000000, 114.263400
650.000000, 114.085200
640.000000, 113.774800
630.000000, 113.611200
620.000000, 113.612000
610.000000, 113.544700
600.000000, 113.438700
590.000000, 113.392300
580.000000, 113.387900
570.000000, 113.382100
560.000000, 113.394800
550.000000, 113.518200
540.000000, 113.578800
530.000000, 113.505400
520.000000, 113.678600
510.000000, 113.740000
500.000000, 113.592300
490.000000, 113.875200
480.000000, 113.902600
470.000000, 113.684400
460.000000, 113.633200
450.000000, 114.008500
440.000000, 114.232300
430.000000, 114.166100
420.000000, 113.910400
410.000000, 113.635600
400.000000, 113.407100
390.000000, 112.463200
380.000000, 111.434400
370.000000, 110.293900
360.000000, 109.243600
350.000000, 108.384400
340.000000, 107.259900
330.000000, 105.538100
320.000000, 103.058500
310.000000, 100.319300
300.000000, 93.204900
