nm, %R
1200.000000, 38.770851
1190.000000, 37.854734
1180.000000, 36.649513
1170.000000, 35.414348
1160.000000, 34.029456
1150.000000, 32.531347
1140.000000, 30.940429
1130.000000, 29.246795
1120.000000, 27.505273
1110.000000, 25.726768
1100.000000, 23.898587
1090.000000, 22.094799
1080.000000, 20.299646
1070.000000, 18.605264
1060.000000, 17.057754
1050.000000, 15.668449
1040.000000, 14.499170
1030.000000, 13.602791
1020.000000, 12.987187
1010.000000, 12.671350
1000.000000, 12.653996
990.000000, 12.928983
980.000000, 13.458145
970.000000, 14.225116
960.000000, 15.171167
950.000000, 16.245496
940.000000, 17.385462
930.000000, 18.556433
920.000000, 19.715860
910.000000, 20.823320
900.000000, 21.794283
890.000000, 22.658271
880.000000, 23.361943
870.000000, 23.842559
860.000000, 24.186933
850.000000, 23.772022
840.000000, 23.705997
830.000000, 23.517212
820.000000, 23.135770
810.000000, 22.401337
800.000000, 21.263282
790.000000, 19.553195
780.000000, 17.495768
770.000000, 15.545673
760.000000, 13.889308
750.000000, 12.811970
740.000000, 12.201695
730.000000, 11.926925
720.000000, 11.827966
710.000000, 11.838309
700.000000, 11.945226
690.000000, 12.125382
680.000000, 12.344345
670.000000, 12.595844
660.000000, 12.840765
650.000000, 13.075943
640.000000, 13.272593
630.000000, 13.381895
620.000000, 13.383718
610.000000, 13.354594
600.000000, 13.282332
590.000000, 13.260112
580.000000, 13.299694
570.000000, 13.420642
560.000000, 13.580817
550.000000, 13.794341
540.000000, 14.003628
530.000000, 14.228947
520.000000, 14.390424
510.000000, 14.554821
500.000000, 14.600355
490.000000, 14.326070
480.000000, 14.019936
470.000000, 13.796577
460.000000, 13.736426
450.000000, 13.792734
440.000000, 13.988060
430.000000, 14.269168
420.000000, 14.583595
410.000000, 14.943539
400.000000, 15.240695
390.000000, 15.440392
380.000000, 15.540598
370.000000, 15.429006
360.000000, 15.062890
350.000000, 14.514813
340.000000, 13.754941
330.000000, 13.030959
320.000000, 12.463717
310.000000, 12.161781
300.000000, 11.579273
