nm, %R
1200.000000, 50.363186
1190.000000, 50.782979
1180.000000, 51.228231
1170.000000, 51.722208
1160.000000, 52.245825
1150.000000, 52.841799
1140.000000, 53.464937
1130.000000, 54.137059
1120.000000, 54.854988
1110.000000, 55.608064
1100.000000, 56.377468
1090.000000, 57.204436
1080.000000, 58.045411
1070.000000, 58.927659
1060.000000, 59.782976
1050.000000, 60.610216
1040.000000, 61.505777
1030.000000, 62.378061
1020.000000, 63.212091
1010.000000, 64.031564
1000.000000, 64.807157
990.000000, 65.522715
980.000000, 66.188590
970.000000, 66.801661
960.000000, 67.361156
950.000000, 67.825273
940.000000, 68.209446
930.000000, 68.488731
920.000000, 68.790554
910.000000, 68.964277
900.000000, 69.123689
890.000000, 69.189082
880.000000, 69.107958
870.000000, 69.042998
860.000000, 69.055249
850.000000, 69.128534
840.000000, 68.799839
830.000000, 68.755471
820.000000, 68.660175
810.000000, 68.520964
800.000000, 68.324507
790.000000, 67.759332
780.000000, 66.478987
770.000000, 63.438638
760.000000, 56.422016
750.000000, 44.144112
740.000000, 30.829732
730.000000, 22.405332
720.000000, 18.924015
710.000000, 17.546927
700.000000, 16.763916
690.000000, 16.016111
680.000000, 15.129268
670.000000, 14.152366
660.000000, 13.061009
650.000000, 11.927880
640.000000, 10.787299
630.000000, 9.622531
620.000000, 8.437029
610.000000, 7.284316
600.000000, 6.114786
590.000000, 5.017562
580.000000, 3.991604
570.000000, 3.056240
560.000000, 2.244447
550.000000, 1.562212
540.000000, 1.038650
530.000000, 0.634210
520.000000, 0.382265
510.000000, 0.204752
500.000000, 0.106784
490.000000, 0.057785
480.000000, 0.027754
470.000000, 0.011332
460.000000, 0.012384
450.000000, 0.009475
440.000000, 0.019953
430.000000, 0.007465
420.000000, 0.003219
410.000000, 0.004012
400.000000, 0.005330
390.000000, -0.000529
380.000000, 0.004978
370.000000, 0.009249
360.000000, 0.004804
350.000000, -0.000548
340.000000, 0.004704
330.000000, 0.007776
320.000000, 0.003835
310.000000, 0.015161
300.000000, 0.333677
