nm, %R
1200.000000, -0.002600
1190.000000, -0.002900
1180.000000, -0.001900
1170.000000, -0.002500
1160.000000, -0.001100
1150.000000, -0.002700
1140.000000, -0.003200
1130.000000, -0.003300
1120.000000, -0.001800
1110.000000, -0.001200
1100.000000, -0.001300
1090.000000, -0.003100
1080.000000, -0.003900
1070.000000, -0.002100
1060.000000, -0.005300
1050.000000, -0.003500
1040.000000, -0.002600
1030.000000, -0.001900
1020.000000, -0.001300
1010.000000, -0.003700
1000.000000, -0.004000
990.000000, -0.002800
980.000000, 0.000300
970.000000, -0.004300
960.000000, -0.007700
950.000000, 0.002900
940.000000, -0.001700
930.000000, 0.004000
920.000000, -0.005300
910.000000, 0.002900
900.000000, 0.019300
890.000000, 0.016300
880.000000, 0.009500
870.000000, 0.013400
860.000000, -0.006000
850.000000, -0.018800
840.000000, 0.006400
830.000000, 0.015000
820.000000, 0.004600
810.000000, -0.000500
800.000000, -0.010600
790.000000, -0.002200
780.000000, 0.003100
770.000000, 0.000300
760.000000, -0.005400
750.000000, -0.009600
740.000000, 0.006300
730.000000, 0.006000
720.000000, -0.006000
710.000000, -0.004800
700.000000, -0.002900
690.000000, -0.006500
680.000000, -0.008000
670.000000, 0.001800
660.000000, 0.004900
650.000000, -0.006400
640.000000, -0.008100
630.000000, 0.002900
620.000000, 0.004400
610.000000, -0.007700
600.000000, -0.001100
590.000000, -0.001600
580.000000, -0.011300
570.000000, 0.000200
560.000000, -0.004400
550.000000, -0.008400
540.000000, 0.007200
530.000000, 0.012600
520.000000, 0.005200
510.000000, -0.005800
500.000000, -0.041600
490.000000, -0.027800
480.000000, 0.010100
470.000000, 0.016400
460.000000, -0.013300
450.000000, -0.031800
440.000000, -0.010600
430.000000, -0.007400
420.000000, -0.008600
410.000000, -0.011600
400.000000, -0.023600
390.000000, -0.018100
380.000000, -0.020800
370.000000, -0.022000
360.000000, -0.010100
350.000000, -0.010200
340.000000, -0.021100
330.000000, -0.034000
320.000000, -0.026100
310.000000, -0.027500
300.000000, -0.176900
