nm, %R
1200.000000, 43.073702
1190.000000, 41.749421
1180.000000, 40.188027
1170.000000, 38.476458
1160.000000, 36.532704
1150.000000, 34.418682
1140.000000, 32.132986
1130.000000, 29.709167
1120.000000, 27.170327
1110.000000, 24.571018
1100.000000, 21.966581
1090.000000, 19.404641
1080.000000, 16.942292
1070.000000, 14.697006
1060.000000, 12.761139
1050.000000, 11.181808
1040.000000, 10.024532
1030.000000, 9.336040
1020.000000, 9.125677
1010.000000, 9.378514
1000.000000, 10.067923
990.000000, 11.136659
980.000000, 12.495017
970.000000, 14.100033
960.000000, 15.864025
950.000000, 17.679009
940.000000, 19.500526
930.000000, 21.227858
920.000000, 22.870310
910.000000, 24.293439
900.000000, 25.488087
890.000000, 26.428186
880.000000, 27.027117
870.000000, 27.340724
860.000000, 27.282545
850.000000, 26.868036
840.000000, 26.184689
830.000000, 25.251410
820.000000, 23.956685
810.000000, 22.351002
800.000000, 20.445040
790.000000, 18.226708
780.000000, 15.938250
770.000000, 13.979605
760.000000, 12.708670
750.000000, 12.123044
740.000000, 11.934297
730.000000, 11.969209
720.000000, 12.185317
710.000000, 12.454143
700.000000, 12.841852
690.000000, 13.300117
680.000000, 13.754428
670.000000, 14.159973
660.000000, 14.481417
650.000000, 14.686008
640.000000, 14.754441
630.000000, 14.636613
620.000000, 14.407423
610.000000, 14.163895
600.000000, 13.995518
590.000000, 13.987769
580.000000, 14.092055
570.000000, 14.283577
560.000000, 14.552024
550.000000, 14.790071
540.000000, 14.983296
530.000000, 15.224353
520.000000, 15.385708
510.000000, 15.509227
500.000000, 15.533494
490.000000, 15.260023
480.000000, 14.927825
470.000000, 14.634989
460.000000, 14.526030
450.000000, 14.520196
440.000000, 14.673930
430.000000, 14.930002
420.000000, 15.211722
410.000000, 15.560627
400.000000, 15.854919
390.000000, 16.029869
380.000000, 16.061525
370.000000, 15.885262
360.000000, 15.465248
350.000000, 14.797972
340.000000, 13.976324
330.000000, 13.121465
320.000000, 12.480401
310.000000, 11.946678
300.000000, 8.398801
