nm, %R
1200.000000, 44.217443
1190.000000, 45.382651
1180.000000, 46.712851
1170.000000, 48.151975
1160.000000, 49.753119
1150.000000, 51.503147
1140.000000, 53.364595
1130.000000, 55.390299
1120.000000, 57.509601
1110.000000, 59.680374
1100.000000, 61.904160
1090.000000, 64.084158
1080.000000, 66.254229
1070.000000, 68.284157
1060.000000, 70.110087
1050.000000, 71.660553
1040.000000, 72.920889
1030.000000, 73.824994
1020.000000, 74.353086
1010.000000, 74.512383
1000.000000, 74.300520
990.000000, 73.804884
980.000000, 73.000539
970.000000, 72.023077
960.000000, 70.868335
950.000000, 69.595198
940.000000, 68.308825
930.000000, 67.050549
920.000000, 65.867803
910.000000, 64.812979
900.000000, 63.970179
890.000000, 63.279439
880.000000, 62.725273
870.000000, 62.641096
860.000000, 62.754602
850.000000, 62.885278
840.000000, 63.281201
830.000000, 64.060878
820.000000, 64.973690
810.000000, 66.128937
800.000000, 66.793218
790.000000, 66.171942
780.000000, 63.976223
770.000000, 59.779826
760.000000, 53.358689
750.000000, 45.814293
740.000000, 38.901980
730.000000, 33.552833
720.000000, 29.781944
710.000000, 27.084768
700.000000, 25.050152
690.000000, 23.261396
680.000000, 21.497046
670.000000, 19.759596
660.000000, 18.010169
650.000000, 16.311086
640.000000, 14.715633
630.000000, 13.132066
620.000000, 11.568793
610.000000, 10.010584
600.000000, 8.452972
590.000000, 6.959494
580.000000, 5.580082
570.000000, 4.316775
560.000000, 3.212857
550.000000, 2.257372
540.000000, 1.548116
530.000000, 0.986413
520.000000, 0.605522
510.000000, 0.340498
500.000000, 0.194200
490.000000, 0.105126
480.000000, 0.074563
470.000000, 0.042540
460.000000, 0.026338
450.000000, 0.032335
440.000000, 0.027934
430.000000, 0.011024
420.000000, 0.008352
410.000000, 0.011948
400.000000, 0.019137
390.000000, 0.015682
380.000000, 0.012090
370.000000, 0.010596
360.000000, 0.007251
350.000000, 0.008586
340.000000, 0.016881
330.000000, 0.022111
320.000000, 0.004698
310.000000, -0.034653
300.000000, -0.494427
