nm, %R
1200.000000, 1.224695
1190.000000, 1.214661
1180.000000, 1.218090
1170.000000, 1.214538
1160.000000, 1.211055
1150.000000, 1.209075
1140.000000, 1.208529
1130.000000, 1.206111
1120.000000, 1.199520
1110.000000, 1.200374
1100.000000, 1.195856
1090.000000, 1.194586
1080.000000, 1.187646
1070.000000, 1.189080
1060.000000, 1.190752
1050.000000, 1.185375
1040.000000, 1.182837
1030.000000, 1.170868
1020.000000, 1.171527
1010.000000, 1.165793
1000.000000, 1.167919
990.000000, 1.162663
980.000000, 1.149896
970.000000, 1.159258
960.000000, 1.156416
950.000000, 1.144840
940.000000, 1.145567
930.000000, 1.115052
920.000000, 1.125356
910.000000, 1.121712
900.000000, 1.102533
890.000000, 1.107321
880.000000, 1.070775
870.000000, 1.123060
860.000000, 1.131012
850.000000, 1.159008
840.000000, 1.103599
830.000000, 1.106350
820.000000, 1.100528
810.000000, 1.098056
800.000000, 1.114339
790.000000, 1.097960
780.000000, 1.092934
770.000000, 1.090082
760.000000, 1.092422
750.000000, 1.087204
740.000000, 1.075163
730.000000, 1.067110
720.000000, 1.074945
710.000000, 1.065388
700.000000, 1.058886
690.000000, 1.059117
680.000000, 1.058941
670.000000, 1.051426
660.000000, 1.056338
650.000000, 1.065972
640.000000, 1.058438
630.000000, 1.037393
620.000000, 1.041743
610.000000, 1.048289
600.000000, 1.058869
590.000000, 1.047525
580.000000, 1.060501
570.000000, 1.047095
560.000000, 1.044181
550.000000, 1.056402
540.000000, 1.054617
530.000000, 1.045870
520.000000, 1.052384
510.000000, 1.035348
500.000000, 1.012092
490.000000, 1.028724
480.000000, 1.063539
470.000000, 1.045967
460.000000, 1.037019
450.000000, 1.052989
440.000000, 1.054049
430.000000, 1.042161
420.000000, 1.058855
410.000000, 1.062375
400.000000, 1.070545
390.000000, 1.072793
380.000000, 1.094391
370.000000, 1.108896
360.000000, 1.121688
350.000000, 1.122770
340.000000, 1.135606
330.000000, 1.154745
320.000000, 1.189674
310.000000, 1.283338
300.000000, 2.669737
