nm, %R
1200.000000, 98.204519
1190.000000, 98.235968
1180.000000, 98.241975
1170.000000, 98.266825
1160.000000, 98.289160
1150.000000, 98.290919
1140.000000, 98.325764
1130.000000, 98.361705
1120.000000, 98.346482
1110.000000, 98.397135
1100.000000, 98.406437
1090.000000, 98.418324
1080.000000, 98.447432
1070.000000, 98.477917
1060.000000, 98.525429
1050.000000, 98.440754
1040.000000, 98.479597
1030.000000, 98.501298
1020.000000, 98.490957
1010.000000, 98.525323
1000.000000, 98.516242
990.000000, 98.548791
980.000000, 98.552875
970.000000, 98.589458
960.000000, 98.679979
950.000000, 98.677106
940.000000, 98.706737
930.000000, 98.697426
920.000000, 98.773389
910.000000, 98.766678
900.000000, 98.858398
890.000000, 98.880632
880.000000, 98.783373
870.000000, 98.734038
860.000000, 98.754882
850.000000, 98.571295
840.000000, 98.999816
830.000000, 98.948780
820.000000, 98.703402
810.000000, 98.859797
800.000000, 98.931844
790.000000, 98.870574
780.000000, 98.813557
770.000000, 98.902028
760.000000, 98.854478
750.000000, 98.790116
740.000000, 98.810316
730.000000, 98.852726
720.000000, 98.882245
710.000000, 98.784774
700.000000, 98.830295
690.000000, 98.788006
680.000000, 98.798622
670.000000, 98.773343
660.000000, 98.771613
650.000000, 98.701227
640.000000, 98.726168
630.000000, 98.794614
620.000000, 98.741722
610.000000, 98.578436
600.000000, 98.693502
590.000000, 98.831252
580.000000, 98.735627
570.000000, 98.870210
560.000000, 98.834142
550.000000, 98.824653
540.000000, 98.730393
530.000000, 98.909923
520.000000, 98.848928
510.000000, 98.678117
500.000000, 98.822216
490.000000, 98.678879
480.000000, 98.656360
470.000000, 98.635459
460.000000, 98.677895
450.000000, 98.595925
440.000000, 98.343420
430.000000, 98.462423
420.000000, 98.521021
410.000000, 98.507324
400.000000, 98.314234
390.000000, 98.459415
380.000000, 98.349293
370.000000, 98.118696
360.000000, 97.672528
350.000000, 97.097996
340.000000, 96.709181
330.000000, 96.376574
320.000000, 96.124124
310.000000, 96.105520
300.000000, 99.785854
